title=静止五分钟采集的第一次数据
time=2022-10-25 21:15
freq=100
note=开发板长边与桌子长边平行，输出电压的两个电极在我坐的这一侧
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,-0.08,0.37,-0.01,933,162,13936,-58,-5,-17,25,3
2,-0.07,0.40,-0.01,912,100,13760,-59,-4,-18,25,3
3,-0.07,0.40,-0.01,972,156,13744,-59,-5,-19,25,3
4,-0.07,0.40,-0.01,942,138,13718,-58,-5,-18,25,3
5,-0.07,0.39,-0.01,982,72,13708,-58,-6,-16,25,3
6,-0.07,0.39,-0.01,948,144,13722,-58,-6,-18,25,3
7,-0.07,0.39,-0.01,960,132,13786,-59,-6,-17,25,3
8,-0.07,0.39,-0.01,968,90,13784,-60,-5,-17,25,3
9,-0.07,0.38,-0.01,964,100,13748,-59,-8,-17,25,3
10,-0.07,0.38,-0.01,960,146,13736,-59,-7,-18,25,3
11,-0.07,0.38,-0.01,940,112,13766,-60,-7,-18,25,3
12,-0.08,0.37,-0.01,946,164,13736,-58,-6,-17,25,3
13,-0.08,0.37,-0.01,960,86,13794,-59,-7,-19,25,3
14,-0.08,0.37,-0.01,964,102,13688,-59,-6,-18,25,3
15,-0.08,0.37,-0.01,968,74,13706,-59,-5,-17,25,3
16,-0.08,0.36,-0.01,994,130,13732,-59,-7,-18,25,3
17,-0.08,0.36,-0.01,1000,76,13712,-60,-6,-19,25,3
18,-0.08,0.35,-0.01,954,156,13746,-58,-5,-17,25,3
19,-0.08,0.35,-0.01,960,72,13862,-59,-7,-17,25,3
20,-0.08,0.35,-0.01,950,10,13806,-59,-7,-18,25,3
21,-0.09,0.34,-0.01,988,144,13822,-58,-8,-17,25,3
22,-0.09,0.34,-0.01,950,134,13688,-58,-8,-17,25,3
23,-0.09,0.34,-0.01,994,156,13674,-58,-8,-17,25,3
24,-0.09,0.34,-0.01,972,48,13830,-59,-6,-17,25,3
25,-0.09,0.33,-0.01,966,120,13708,-58,-6,-18,25,3
26,-0.09,0.33,-0.01,972,122,13636,-58,-6,-17,25,3
27,-0.09,0.33,-0.01,978,48,13684,-60,-6,-18,25,3
28,-0.09,0.32,-0.01,1030,122,13698,-58,-7,-17,25,3
29,-0.10,0.32,-0.01,974,34,13816,-60,-6,-16,25,3
30,-0.10,0.32,-0.01,950,66,13648,-59,-5,-17,25,3
31,-0.10,0.31,-0.01,1010,164,13666,-58,-5,-17,25,3
32,-0.10,0.31,-0.01,948,122,13790,-58,-5,-16,25,3
33,-0.10,0.31,-0.01,950,144,13666,-59,-6,-17,25,3
34,-0.10,0.31,-0.01,898,74,13640,-58,-4,-18,25,3
35,-0.10,0.31,-0.01,924,92,13754,-58,-5,-18,25,3
36,-0.10,0.30,-0.01,1010,114,13760,-60,-7,-17,25,3
37,-0.10,0.30,-0.01,982,98,13682,-58,-7,-18,25,3
38,-0.10,0.30,-0.01,956,180,13742,-57,-7,-16,25,3
39,-0.10,0.30,-0.01,994,122,13772,-58,-6,-17,25,3
40,-0.10,0.30,-0.01,986,66,13766,-57,-7,-15,25,3
41,-0.10,0.29,-0.01,1016,118,13772,-59,-5,-17,25,3
42,-0.10,0.29,-0.01,998,52,13756,-59,-10,-18,25,3
43,-0.10,0.29,-0.01,1016,120,13730,-59,-7,-18,25,3
44,-0.10,0.28,-0.01,938,110,13782,-59,-6,-17,25,3
45,-0.10,0.28,-0.01,940,170,13674,-59,-7,-17,25,3
46,-0.10,0.28,-0.01,1002,148,13708,-57,-7,-17,25,3
47,-0.10,0.28,-0.01,966,110,13734,-58,-8,-18,25,3
48,-0.11,0.28,-0.01,1008,134,13790,-59,-6,-17,25,4
49,-0.11,0.27,-0.01,1056,78,13794,-58,-7,-17,25,4
50,-0.11,0.27,-0.01,972,142,13776,-58,-6,-15,25,4
51,-0.11,0.27,-0.01,938,108,13676,-59,-8,-17,25,4
52,-0.11,0.27,-0.01,984,158,13728,-59,-6,-18,25,4
53,-0.11,0.27,-0.01,980,106,13654,-59,-7,-17,25,4
54,-0.11,0.26,-0.01,1006,130,13738,-59,-6,-16,25,4
55,-0.11,0.26,-0.01,960,76,13720,-58,-6,-17,25,4
56,-0.11,0.26,-0.01,960,138,13710,-58,-7,-17,25,4
57,-0.11,0.25,-0.01,930,106,13740,-59,-3,-18,25,4
58,-0.11,0.25,-0.01,966,136,13850,-58,-5,-17,25,4
59,-0.11,0.25,-0.01,918,78,13774,-59,-6,-17,25,4
60,-0.11,0.25,-0.01,952,106,13652,-59,-7,-18,25,4
61,-0.11,0.25,-0.01,994,122,13696,-57,-7,-17,25,4
62,-0.11,0.25,-0.01,1002,178,13818,-58,-4,-17,25,4
63,-0.11,0.24,-0.01,988,116,13742,-59,-8,-18,25,4
64,-0.11,0.24,-0.01,944,118,13768,-58,-7,-17,25,4
65,-0.11,0.24,-0.01,1008,102,13690,-59,-5,-17,25,4
66,-0.12,0.24,-0.01,976,130,13748,-59,-6,-18,25,4
67,-0.12,0.24,-0.01,992,108,13838,-59,-7,-19,25,4
68,-0.12,0.24,-0.01,1036,68,13660,-59,-5,-19,25,4
69,-0.12,0.23,-0.01,930,94,13754,-58,-7,-17,25,4
70,-0.12,0.23,-0.01,912,116,13808,-58,-7,-17,25,4
71,-0.12,0.23,-0.01,928,66,13756,-59,-6,-18,25,4
72,-0.12,0.23,-0.01,930,140,13818,-59,-3,-18,25,4
73,-0.12,0.23,-0.01,940,84,13742,-58,-4,-17,25,4
74,-0.11,0.22,-0.01,948,76,13698,-58,-6,-18,25,4
75,-0.11,0.22,-0.01,926,76,13800,-57,-6,-18,25,4
76,-0.11,0.22,-0.01,984,122,13828,-60,-7,-18,25,4
77,-0.12,0.22,-0.01,892,70,13764,-58,-6,-17,25,4
78,-0.11,0.22,-0.01,976,62,13808,-59,-6,-18,25,4
79,-0.12,0.21,-0.01,964,108,13796,-58,-8,-18,25,4
80,-0.12,0.21,-0.01,922,64,13728,-58,-9,-18,25,4
81,-0.12,0.21,-0.01,938,164,13700,-59,-5,-17,25,4
82,-0.12,0.21,-0.01,956,90,13802,-58,-8,-18,25,4
83,-0.12,0.21,-0.01,974,146,13674,-59,-8,-18,25,4
84,-0.12,0.21,-0.02,984,128,13706,-59,-6,-17,25,4
85,-0.12,0.21,-0.02,1036,40,13758,-57,-8,-17,25,4
86,-0.12,0.20,-0.02,986,140,13702,-59,-7,-18,25,4
87,-0.13,0.20,-0.02,970,146,13784,-59,-7,-18,25,4
88,-0.13,0.20,-0.02,956,48,13692,-59,-8,-17,25,4
89,-0.13,0.20,-0.02,1040,120,13840,-59,-6,-18,25,4
90,-0.13,0.20,-0.02,1020,142,13760,-58,-5,-17,25,4
91,-0.13,0.20,-0.02,966,108,13704,-58,-6,-17,25,4
92,-0.13,0.20,-0.02,966,110,13716,-58,-7,-18,25,4
93,-0.13,0.19,-0.02,1014,158,13806,-59,-7,-16,25,4
94,-0.13,0.19,-0.02,980,62,13716,-58,-5,-16,25,4
95,-0.13,0.19,-0.02,982,120,13734,-59,-5,-17,25,4
96,-0.13,0.19,-0.02,950,120,13734,-59,-6,-18,25,4
97,-0.13,0.19,-0.02,956,110,13728,-58,-5,-17,25,4
98,-0.13,0.19,-0.02,1024,78,13692,-59,-6,-17,25,4
99,-0.14,0.18,-0.02,1000,166,13654,-58,-7,-16,25,4
100,-0.14,0.18,-0.02,970,84,13722,-57,-7,-18,25,4
101,-0.14,0.18,-0.02,972,90,13806,-58,-7,-18,25,4
102,-0.14,0.18,-0.02,1020,80,13730,-59,-8,-18,25,4
103,-0.14,0.18,-0.02,948,30,13708,-58,-7,-17,25,4
104,-0.14,0.18,-0.02,954,142,13752,-59,-6,-17,25,4
105,-0.14,0.17,-0.02,974,62,13694,-59,-8,-17,25,4
106,-0.14,0.17,-0.02,1024,130,13674,-59,-6,-18,25,4
107,-0.14,0.17,-0.02,938,86,13786,-59,-7,-17,25,4
108,-0.14,0.17,-0.02,958,98,13648,-58,-5,-18,25,4
109,-0.14,0.17,-0.02,974,140,13738,-57,-5,-18,25,4
110,-0.14,0.17,-0.02,948,56,13772,-58,-5,-18,25,4
111,-0.14,0.17,-0.02,932,92,13712,-58,-7,-17,25,4
112,-0.14,0.16,-0.02,978,98,13722,-59,-6,-19,25,4
113,-0.14,0.16,-0.02,918,166,13808,-59,-7,-17,25,4
114,-0.15,0.16,-0.02,932,102,13732,-59,-6,-17,25,4
115,-0.15,0.16,-0.02,936,50,13764,-58,-5,-18,25,4
116,-0.15,0.16,-0.02,1002,132,13720,-58,-7,-18,25,4
117,-0.15,0.16,-0.02,998,82,13746,-58,-8,-18,25,4
118,-0.15,0.16,-0.02,968,106,13808,-58,-7,-17,25,4
119,-0.15,0.16,-0.02,946,96,13798,-58,-4,-19,25,4
120,-0.15,0.15,-0.02,1004,168,13726,-59,-5,-18,25,4
121,-0.15,0.15,-0.02,974,140,13670,-59,-7,-18,25,4
122,-0.15,0.15,-0.02,958,94,13748,-59,-5,-17,25,4
123,-0.15,0.15,-0.02,946,94,13750,-59,-7,-17,25,4
124,-0.15,0.15,-0.02,994,214,13784,-58,-7,-17,25,4
125,-0.15,0.15,-0.02,984,166,13780,-57,-7,-17,25,4
126,-0.15,0.15,-0.02,938,150,13704,-60,-6,-17,25,4
127,-0.15,0.15,-0.02,960,18,13750,-58,-7,-18,25,4
128,-0.15,0.15,-0.02,978,146,13818,-58,-6,-17,25,4
129,-0.15,0.15,-0.02,922,122,13666,-60,-8,-18,25,4
130,-0.15,0.15,-0.02,986,72,13844,-58,-4,-18,25,4
131,-0.15,0.14,-0.02,976,82,13640,-58,-6,-18,25,4
132,-0.15,0.14,-0.02,1008,134,13700,-58,-7,-17,25,4
133,-0.15,0.14,-0.02,996,88,13690,-59,-7,-18,25,4
134,-0.15,0.14,-0.02,986,118,13644,-60,-7,-19,25,4
135,-0.16,0.14,-0.02,1008,94,13780,-59,-7,-18,25,4
136,-0.16,0.14,-0.02,1002,162,13732,-59,-6,-15,25,4
137,-0.16,0.14,-0.02,952,122,13792,-59,-4,-17,25,4
138,-0.16,0.13,-0.02,1030,138,13786,-57,-7,-17,25,4
139,-0.16,0.13,-0.02,984,178,13744,-59,-6,-18,25,4
140,-0.16,0.13,-0.02,1006,138,13758,-58,-6,-18,25,4
141,-0.16,0.13,-0.02,914,58,13798,-58,-5,-17,25,4
142,-0.16,0.13,-0.02,940,122,13790,-58,-9,-17,25,4
143,-0.16,0.13,-0.02,996,100,13742,-59,-6,-17,25,4
144,-0.16,0.13,-0.02,940,144,13730,-59,-8,-17,25,4
145,-0.16,0.13,-0.02,944,108,13834,-58,-6,-18,25,4
146,-0.16,0.13,-0.02,960,104,13726,-59,-7,-17,25,5
147,-0.16,0.13,-0.02,986,86,13798,-57,-7,-17,25,5
148,-0.16,0.13,-0.02,960,94,13726,-57,-5,-18,25,5
149,-0.16,0.13,-0.02,964,98,13766,-59,-9,-17,25,5
150,-0.16,0.13,-0.02,1000,148,13720,-58,-6,-16,25,5
151,-0.17,0.12,-0.02,948,36,13690,-59,-6,-17,25,5
152,-0.17,0.12,-0.02,1010,66,13760,-58,-5,-16,25,5
153,-0.17,0.12,-0.02,1000,124,13764,-58,-5,-18,25,5
154,-0.17,0.12,-0.02,916,108,13702,-60,-6,-18,25,5
155,-0.17,0.12,-0.02,956,100,13690,-59,-6,-16,25,5
156,-0.17,0.12,-0.02,1026,80,13704,-58,-7,-18,25,5
157,-0.17,0.12,-0.02,900,156,13730,-57,-6,-18,25,5
158,-0.17,0.12,-0.02,964,164,13816,-58,-7,-18,25,5
159,-0.17,0.12,-0.02,928,130,13768,-58,-6,-17,25,5
160,-0.17,0.12,-0.02,998,68,13736,-58,-6,-18,25,5
161,-0.17,0.12,-0.02,944,96,13750,-58,-5,-18,25,5
162,-0.16,0.12,-0.02,922,6,13778,-59,-4,-18,25,5
163,-0.16,0.11,-0.02,924,134,13772,-59,-6,-17,25,5
164,-0.16,0.11,-0.02,1008,84,13688,-58,-6,-18,25,5
165,-0.16,0.11,-0.02,1014,108,13746,-60,-6,-19,25,5
166,-0.16,0.11,-0.03,982,114,13736,-58,-5,-17,25,5
167,-0.16,0.11,-0.02,1076,98,13688,-58,-8,-17,25,5
168,-0.16,0.11,-0.03,1068,118,13754,-58,-6,-18,25,5
169,-0.17,0.11,-0.03,1064,126,13698,-58,-7,-16,25,5
170,-0.17,0.11,-0.02,950,164,13748,-59,-7,-17,25,5
171,-0.17,0.11,-0.02,950,106,13708,-59,-7,-17,25,5
172,-0.17,0.11,-0.03,952,212,13792,-59,-6,-17,25,5
173,-0.17,0.11,-0.02,936,62,13786,-60,-7,-18,25,5
174,-0.17,0.11,-0.03,978,154,13756,-58,-8,-18,25,5
175,-0.17,0.11,-0.03,970,44,13688,-58,-5,-17,25,5
176,-0.17,0.10,-0.03,966,130,13810,-60,-9,-17,25,5
177,-0.17,0.10,-0.03,968,132,13764,-59,-6,-18,25,5
178,-0.17,0.10,-0.03,904,96,13692,-57,-8,-17,25,5
179,-0.17,0.10,-0.03,956,144,13742,-60,-6,-18,25,5
180,-0.17,0.10,-0.03,954,104,13684,-59,-7,-17,25,5
181,-0.17,0.10,-0.03,904,92,13736,-58,-5,-19,25,5
182,-0.17,0.10,-0.03,988,96,13732,-58,-7,-17,25,5
183,-0.17,0.10,-0.03,1036,150,13764,-58,-8,-17,25,5
184,-0.17,0.10,-0.03,1030,66,13688,-58,-9,-19,25,5
185,-0.17,0.09,-0.03,1018,126,13714,-59,-6,-17,25,5
186,-0.17,0.09,-0.03,980,52,13736,-59,-8,-18,25,5
187,-0.18,0.09,-0.03,988,114,13820,-59,-6,-17,25,5
188,-0.18,0.09,-0.03,952,106,13810,-59,-7,-16,25,5
189,-0.17,0.09,-0.03,946,138,13736,-58,-4,-17,25,5
190,-0.18,0.09,-0.03,954,132,13782,-58,-6,-18,25,5
191,-0.18,0.09,-0.03,946,120,13750,-58,-5,-19,25,5
192,-0.18,0.09,-0.03,994,80,13748,-59,-6,-18,25,5
193,-0.17,0.09,-0.03,1010,140,13840,-59,-7,-18,25,5
194,-0.18,0.09,-0.03,964,170,13732,-58,-6,-18,25,5
195,-0.18,0.09,-0.03,954,90,13708,-60,-8,-18,25,5
196,-0.18,0.09,-0.03,1002,94,13720,-59,-7,-18,25,5
197,-0.18,0.09,-0.03,1048,126,13756,-58,-6,-18,25,5
198,-0.18,0.09,-0.03,1014,92,13714,-57,-6,-17,25,5
199,-0.18,0.09,-0.03,1002,124,13782,-59,-7,-17,25,5
200,-0.19,0.08,-0.03,1012,136,13760,-58,-7,-17,25,5
201,-0.19,0.08,-0.03,970,98,13788,-58,-6,-17,25,5
202,-0.19,0.08,-0.03,994,150,13698,-59,-5,-17,25,5
203,-0.19,0.08,-0.03,960,88,13812,-58,-6,-17,25,5
204,-0.19,0.08,-0.03,906,78,13846,-60,-4,-17,25,5
205,-0.18,0.08,-0.03,954,126,13798,-60,-5,-17,25,5
206,-0.18,0.08,-0.03,936,84,13704,-58,-6,-16,25,5
207,-0.18,0.08,-0.03,976,142,13710,-59,-7,-19,25,5
208,-0.18,0.08,-0.03,914,136,13700,-59,-7,-17,25,5
209,-0.18,0.08,-0.03,956,120,13844,-59,-7,-17,25,5
210,-0.18,0.08,-0.03,894,108,13682,-60,-6,-18,25,5
211,-0.18,0.08,-0.03,1036,74,13810,-59,-7,-19,25,5
212,-0.18,0.07,-0.03,922,58,13710,-58,-6,-19,25,5
213,-0.18,0.07,-0.03,994,94,13626,-57,-8,-17,25,5
214,-0.18,0.07,-0.03,998,62,13820,-59,-6,-19,25,5
215,-0.18,0.07,-0.03,978,84,13836,-58,-8,-19,25,5
216,-0.18,0.07,-0.03,972,150,13772,-60,-6,-18,25,5
217,-0.18,0.07,-0.03,972,178,13728,-59,-7,-17,25,5
218,-0.18,0.07,-0.03,932,72,13798,-57,-6,-18,25,5
219,-0.18,0.07,-0.03,964,52,13774,-58,-5,-17,25,5
220,-0.18,0.07,-0.03,988,156,13752,-58,-6,-18,25,5
221,-0.18,0.07,-0.03,960,64,13752,-58,-5,-19,25,5
222,-0.19,0.07,-0.04,1026,146,13670,-59,-7,-18,25,5
223,-0.19,0.07,-0.04,970,170,13736,-58,-8,-17,25,5
224,-0.19,0.07,-0.04,990,118,13714,-58,-9,-18,25,5
225,-0.19,0.07,-0.04,908,146,13718,-58,-6,-17,25,5
226,-0.19,0.07,-0.04,952,92,13780,-58,-7,-17,25,5
227,-0.18,0.07,-0.04,982,116,13694,-59,-7,-17,25,5
228,-0.18,0.07,-0.04,936,88,13668,-58,-4,-17,25,5
229,-0.18,0.07,-0.04,980,142,13686,-59,-8,-17,25,5
230,-0.19,0.07,-0.04,954,164,13650,-58,-8,-16,25,5
231,-0.19,0.07,-0.04,984,174,13806,-60,-6,-18,25,5
232,-0.19,0.07,-0.04,1036,110,13774,-58,-9,-19,25,5
233,-0.19,0.07,-0.04,996,134,13784,-58,-6,-17,25,5
234,-0.19,0.07,-0.04,1048,78,13806,-59,-8,-17,25,5
