title=静止五分钟采集的第十次数据
time=2022-10-31 21:22
freq=100
note=相比第九次，顺时针旋转90度
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,0.00,0.00,0.00,886,500,13462,-40,11,-29,25,2
2,0.09,0.87,0.00,870,448,13416,-41,10,-30,25,2
3,0.09,0.86,0.00,904,452,13522,-40,9,-30,25,2
4,0.09,0.85,0.00,952,482,13500,-40,9,-31,25,2
5,0.09,0.85,0.00,906,452,13388,-41,11,-30,25,2
6,0.09,0.84,0.00,848,444,13538,-41,10,-31,25,2
7,0.08,0.83,0.00,836,436,13438,-40,11,-30,25,2
8,0.09,0.83,-0.00,886,482,13488,-39,10,-30,25,2
9,0.08,0.82,-0.00,888,478,13418,-39,10,-30,25,2
10,0.08,0.81,-0.00,906,474,13496,-39,10,-32,25,2
11,0.08,0.81,-0.00,850,462,13350,-38,10,-31,25,2
12,0.08,0.80,-0.00,922,538,13462,-38,9,-30,25,2
13,0.08,0.80,-0.00,914,464,13384,-39,9,-31,25,2
14,0.08,0.79,-0.00,914,498,13478,-39,10,-30,25,2
15,0.07,0.79,-0.00,954,494,13388,-40,11,-31,25,2
16,0.07,0.78,-0.00,884,476,13448,-40,10,-30,25,2
17,0.07,0.78,-0.01,934,504,13524,-38,10,-32,25,2
18,0.07,0.77,-0.01,872,466,13590,-39,10,-30,25,2
19,0.07,0.77,-0.01,806,488,13352,-39,10,-31,25,2
20,0.07,0.76,-0.01,852,480,13526,-40,11,-32,25,2
21,0.07,0.76,-0.01,932,438,13500,-39,11,-31,25,2
22,0.07,0.75,-0.01,898,496,13356,-38,10,-32,25,2
23,0.07,0.75,-0.01,844,470,13556,-39,10,-32,25,2
24,0.06,0.74,-0.01,906,428,13444,-39,11,-32,25,2
25,0.06,0.74,-0.01,906,448,13668,-39,10,-32,25,2
26,0.06,0.73,-0.01,880,494,13588,-39,10,-30,25,2
27,0.06,0.73,-0.01,894,454,13452,-39,10,-29,25,2
28,0.06,0.72,-0.01,896,476,13500,-40,10,-30,25,2
29,0.06,0.72,-0.02,954,484,13570,-39,10,-30,25,2
30,0.06,0.71,-0.02,866,480,13490,-39,11,-31,25,2
31,0.06,0.71,-0.02,906,494,13494,-40,11,-31,25,2
32,0.06,0.70,-0.02,926,482,13382,-40,10,-31,25,2
33,0.05,0.70,-0.02,952,492,13502,-39,11,-30,25,2
34,0.05,0.69,-0.02,932,456,13450,-40,10,-31,25,2
35,0.05,0.69,-0.02,888,412,13494,-39,11,-31,25,2
36,0.05,0.68,-0.02,906,448,13472,-40,9,-30,25,2
37,0.05,0.68,-0.02,868,456,13396,-40,9,-31,25,2
38,0.05,0.67,-0.02,822,504,13490,-40,10,-30,25,2
39,0.05,0.67,-0.02,922,468,13400,-40,10,-31,25,2
40,0.05,0.66,-0.02,840,428,13418,-40,10,-31,25,2
41,0.05,0.66,-0.02,846,382,13448,-39,10,-31,25,2
42,0.05,0.65,-0.02,952,458,13376,-39,10,-30,25,2
43,0.04,0.65,-0.02,858,488,13418,-39,10,-31,25,2
44,0.04,0.64,-0.02,886,460,13528,-39,10,-30,25,2
45,0.04,0.64,-0.02,860,462,13482,-39,9,-31,25,2
46,0.04,0.63,-0.02,870,424,13436,-39,10,-32,25,2
47,0.04,0.63,-0.03,894,508,13452,-39,10,-32,25,2
48,0.04,0.62,-0.03,904,466,13352,-39,10,-32,25,2
