title=静止五分钟采集的第十次数据
time=2022-10-31 21:30
freq=100
note=相比第十次，顺时针旋转90度
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,0.00,0.00,0.00,648,210,13468,-39,10,-30,25,2
2,0.09,0.87,0.00,686,248,13498,-40,10,-31,25,2
3,0.09,0.86,0.00,686,244,13356,-39,9,-31,25,2
4,0.09,0.85,-0.00,680,178,13454,-39,11,-31,25,2
5,0.09,0.85,-0.00,588,204,13518,-40,10,-31,25,2
6,0.09,0.84,-0.00,738,206,13456,-39,9,-31,25,2
7,0.09,0.83,-0.00,764,160,13462,-38,9,-30,25,2
8,0.08,0.83,-0.00,664,174,13472,-40,9,-29,25,2
9,0.08,0.82,-0.01,724,182,13500,-40,11,-31,25,2
10,0.08,0.81,-0.01,638,188,13424,-38,10,-30,25,2
11,0.08,0.81,-0.01,704,240,13442,-40,9,-29,25,2
12,0.08,0.80,-0.01,680,202,13498,-39,10,-31,25,2
13,0.08,0.80,-0.01,726,264,13510,-39,10,-31,25,2
14,0.08,0.79,-0.01,754,166,13472,-39,9,-31,25,2
15,0.08,0.78,-0.01,684,160,13580,-40,9,-30,25,2
16,0.08,0.78,-0.01,712,214,13414,-41,9,-31,25,2
17,0.07,0.77,-0.01,680,158,13396,-39,8,-30,25,2
18,0.07,0.76,-0.01,718,210,13534,-39,9,-31,25,2
19,0.07,0.76,-0.01,656,230,13520,-39,9,-31,25,2
20,0.07,0.75,-0.02,676,200,13542,-39,10,-31,25,2
21,0.07,0.75,-0.02,690,164,13462,-40,10,-30,25,2
22,0.07,0.74,-0.02,698,250,13506,-39,8,-31,25,2
23,0.07,0.73,-0.02,734,194,13406,-40,10,-32,25,2
24,0.06,0.73,-0.02,672,244,13422,-38,10,-30,25,2
25,0.06,0.72,-0.02,700,186,13466,-39,10,-31,25,2
26,0.06,0.72,-0.02,672,200,13458,-38,10,-29,25,2
27,0.06,0.71,-0.02,696,206,13554,-38,9,-30,25,2
28,0.06,0.71,-0.02,696,232,13528,-39,9,-29,25,2
29,0.06,0.70,-0.02,744,262,13552,-39,10,-29,25,2
30,0.06,0.70,-0.02,662,246,13358,-39,9,-31,25,2
31,0.06,0.69,-0.02,642,254,13470,-38,10,-30,25,2
32,0.06,0.69,-0.02,660,242,13562,-40,10,-30,25,2
33,0.06,0.68,-0.03,626,236,13488,-40,11,-29,25,2
34,0.06,0.68,-0.03,658,236,13442,-40,10,-30,25,2
35,0.06,0.67,-0.03,728,244,13386,-40,9,-30,25,2
36,0.05,0.66,-0.03,722,118,13470,-38,9,-30,25,2
37,0.05,0.66,-0.03,706,246,13582,-39,10,-30,25,2
38,0.05,0.65,-0.03,700,174,13538,-39,8,-30,25,2
39,0.05,0.65,-0.03,728,156,13470,-39,10,-31,25,2
40,0.05,0.64,-0.03,664,226,13462,-39,9,-31,25,2
41,0.05,0.64,-0.03,728,260,13492,-38,9,-29,25,2
42,0.05,0.63,-0.03,708,230,13374,-41,9,-31,25,2
43,0.04,0.63,-0.03,666,220,13440,-41,9,-31,25,2
44,0.04,0.63,-0.03,702,170,13404,-39,10,-31,25,2
45,0.04,0.62,-0.03,694,222,13488,-39,11,-30,25,2
46,0.04,0.62,-0.04,690,266,13560,-40,9,-30,25,2
47,0.04,0.61,-0.04,696,232,13464,-40,9,-30,25,2
48,0.04,0.61,-0.04,656,256,13458,-39,11,-30,25,2
49,0.04,0.60,-0.04,698,200,13444,-40,10,-30,25,2
50,0.04,0.60,-0.04,674,200,13510,-39,10,-31,25,2
51,0.04,0.59,-0.04,630,234,13450,-40,10,-30,25,2
52,0.04,0.59,-0.04,632,242,13494,-39,9,-30,25,2
53,0.04,0.58,-0.04,648,218,13578,-38,10,-30,25,2
54,0.04,0.58,-0.04,688,220,13476,-40,10,-30,25,2
55,0.04,0.58,-0.04,754,224,13400,-40,10,-30,25,2
56,0.04,0.57,-0.04,720,230,13452,-38,10,-31,25,2
57,0.04,0.57,-0.04,676,212,13564,-40,10,-30,25,2
58,0.04,0.56,-0.04,654,230,13388,-40,10,-30,25,2
59,0.04,0.56,-0.04,702,174,13580,-40,10,-31,25,2
60,0.04,0.55,-0.05,650,234,13520,-38,10,-31,25,2
61,0.04,0.55,-0.05,662,198,13342,-40,8,-31,25,2
62,0.04,0.54,-0.05,692,268,13440,-39,10,-30,25,2
63,0.04,0.54,-0.05,688,246,13390,-39,10,-31,25,3
64,0.03,0.54,-0.05,680,234,13546,-39,10,-31,25,3
65,0.03,0.53,-0.05,704,184,13454,-39,9,-30,25,3
66,0.03,0.53,-0.05,738,182,13444,-38,10,-29,25,3
67,0.03,0.53,-0.05,624,206,13524,-39,9,-31,25,3
68,0.03,0.52,-0.05,662,156,13560,-38,10,-30,25,3
69,0.03,0.52,-0.05,682,190,13494,-40,9,-31,25,3
70,0.03,0.51,-0.05,698,210,13476,-39,10,-30,25,3
71,0.03,0.51,-0.06,664,216,13518,-39,10,-30,25,3
72,0.03,0.50,-0.06,652,164,13452,-38,9,-31,25,3
73,0.03,0.50,-0.06,726,234,13540,-40,10,-30,25,3
74,0.03,0.50,-0.06,728,240,13426,-40,8,-29,25,3
75,0.02,0.49,-0.06,666,206,13494,-39,8,-29,25,3
76,0.02,0.49,-0.06,680,154,13464,-38,9,-30,25,3
77,0.02,0.48,-0.06,682,236,13418,-39,9,-30,25,3
78,0.02,0.48,-0.06,712,278,13462,-39,8,-30,25,3
79,0.02,0.48,-0.06,684,172,13450,-39,8,-30,25,3
80,0.02,0.47,-0.06,610,230,13484,-39,9,-32,25,3
81,0.02,0.47,-0.06,678,242,13406,-39,10,-30,25,3
82,0.02,0.47,-0.06,706,248,13470,-39,9,-30,25,3
83,0.02,0.46,-0.06,696,218,13444,-39,11,-31,25,3
84,0.02,0.46,-0.06,730,220,13418,-39,10,-31,25,3
85,0.01,0.45,-0.07,696,228,13436,-40,9,-32,25,3
86,0.01,0.45,-0.07,718,262,13438,-40,11,-31,25,3
87,0.01,0.45,-0.07,684,212,13468,-40,8,-29,25,3
88,0.01,0.44,-0.07,730,168,13410,-39,10,-31,25,3
89,0.01,0.44,-0.07,716,216,13436,-39,10,-30,25,3
90,0.01,0.43,-0.07,660,200,13468,-40,10,-31,25,3
91,0.01,0.43,-0.07,650,204,13438,-39,9,-31,25,3
92,0.01,0.43,-0.07,732,196,13488,-40,10,-30,25,3
93,0.01,0.42,-0.07,688,180,13530,-40,10,-30,25,3
94,0.01,0.42,-0.08,742,222,13490,-40,9,-31,25,3
95,0.01,0.42,-0.08,682,214,13482,-39,10,-30,25,3
96,0.00,0.41,-0.08,682,248,13510,-39,10,-30,25,3
97,0.00,0.41,-0.08,672,210,13496,-39,9,-31,25,3
98,0.00,0.41,-0.08,672,244,13566,-39,9,-30,25,3
99,0.00,0.40,-0.08,712,150,13510,-40,10,-30,25,3
100,0.00,0.40,-0.08,632,242,13536,-39,10,-30,25,3
101,0.00,0.40,-0.08,712,196,13446,-39,8,-31,25,3
102,0.00,0.39,-0.08,698,250,13418,-40,9,-32,25,3
103,0.00,0.39,-0.08,712,112,13506,-39,8,-30,25,3
104,-0.00,0.39,-0.08,722,206,13364,-39,9,-30,25,3
105,-0.00,0.38,-0.09,698,180,13544,-39,10,-31,25,3
106,-0.00,0.38,-0.09,682,186,13482,-40,10,-31,25,3
107,-0.00,0.38,-0.09,658,248,13492,-39,11,-31,25,3
108,-0.00,0.37,-0.09,696,254,13460,-39,9,-31,25,3
109,-0.00,0.37,-0.09,700,230,13332,-39,10,-31,25,3
110,-0.00,0.37,-0.09,650,158,13546,-40,9,-29,25,3
111,-0.00,0.36,-0.09,680,226,13484,-39,10,-30,25,3
112,-0.01,0.36,-0.09,684,210,13460,-40,10,-30,25,3
113,-0.01,0.36,-0.09,662,204,13480,-40,10,-30,25,3
114,-0.01,0.35,-0.09,674,202,13462,-38,8,-31,25,3
115,-0.01,0.35,-0.09,684,174,13496,-38,9,-30,25,3
116,-0.01,0.35,-0.10,646,208,13412,-39,10,-30,25,3
117,-0.01,0.35,-0.10,614,158,13418,-39,9,-30,25,3
118,-0.01,0.34,-0.10,652,212,13558,-39,10,-31,25,3
119,-0.01,0.34,-0.10,760,180,13578,-39,10,-30,25,3
