title=静止五分钟采集的第十二次数据
time=2022-10-31 21:30
freq=100
note=相比第十一次，顺时针旋转90度
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,0.00,0.00,0.00,936,64,13554,-40,10,-30,25,2
2,0.09,0.87,0.00,924,-48,13490,-39,10,-31,25,2
3,0.09,0.86,0.00,980,-30,13492,-39,10,-31,25,2
4,0.09,0.85,-0.00,968,-28,13500,-41,9,-30,25,2
5,0.08,0.85,-0.00,916,-34,13480,-40,11,-31,25,2
6,0.08,0.84,-0.00,874,-28,13498,-40,11,-31,25,2
7,0.08,0.83,-0.00,942,0,13528,-39,9,-31,25,2
8,0.08,0.82,-0.00,866,36,13450,-39,10,-29,25,2
9,0.08,0.82,-0.00,940,72,13440,-39,10,-31,25,2
10,0.08,0.81,-0.00,916,36,13508,-39,9,-31,25,2
11,0.08,0.81,-0.01,914,-54,13530,-40,11,-30,25,2
12,0.08,0.80,-0.01,900,-24,13466,-40,9,-30,25,2
13,0.08,0.79,-0.01,964,6,13462,-40,9,-30,25,2
14,0.07,0.79,-0.01,922,-12,13444,-39,9,-30,25,2
15,0.07,0.78,-0.01,906,20,13538,-39,10,-31,25,2
16,0.07,0.78,-0.01,918,8,13516,-39,8,-30,25,2
17,0.07,0.77,-0.01,972,0,13412,-39,11,-31,25,2
18,0.07,0.76,-0.01,956,-52,13532,-39,10,-31,25,2
19,0.07,0.76,-0.01,892,-30,13496,-39,10,-31,25,2
20,0.07,0.75,-0.01,980,26,13318,-39,8,-30,25,2
21,0.06,0.74,-0.01,994,-60,13464,-39,10,-31,25,2
22,0.06,0.74,-0.01,860,0,13482,-39,10,-29,25,2
23,0.06,0.73,-0.01,910,-46,13390,-39,10,-30,25,2
24,0.06,0.72,-0.02,940,22,13414,-39,11,-31,25,2
25,0.06,0.72,-0.02,920,2,13436,-39,11,-30,25,2
26,0.06,0.71,-0.02,874,-2,13460,-40,9,-31,25,2
27,0.06,0.71,-0.02,918,-4,13442,-39,10,-30,25,2
28,0.06,0.70,-0.02,880,-30,13534,-39,9,-31,25,2
29,0.06,0.70,-0.02,808,-68,13408,-39,10,-32,25,2
30,0.06,0.69,-0.02,898,10,13384,-39,11,-29,25,2
31,0.06,0.69,-0.02,876,18,13530,-39,9,-31,25,2
32,0.06,0.68,-0.02,912,-38,13462,-40,10,-30,25,2
33,0.06,0.67,-0.02,936,-68,13472,-39,10,-30,25,2
34,0.06,0.67,-0.02,974,20,13496,-39,10,-31,25,2
35,0.06,0.66,-0.02,980,30,13474,-39,9,-31,25,2
36,0.06,0.66,-0.02,930,18,13536,-38,9,-30,25,2
37,0.06,0.65,-0.02,920,-32,13444,-39,10,-30,25,2
38,0.05,0.65,-0.03,874,-32,13496,-39,10,-30,25,2
39,0.05,0.64,-0.03,942,-32,13406,-39,9,-30,25,2
40,0.05,0.64,-0.03,936,-26,13436,-39,10,-30,25,2
41,0.05,0.63,-0.03,912,36,13540,-38,9,-31,25,2
42,0.05,0.63,-0.03,906,-16,13588,-39,10,-32,25,2
43,0.05,0.63,-0.03,892,12,13456,-39,10,-31,25,2
44,0.05,0.62,-0.03,928,-4,13524,-38,10,-30,25,2
45,0.05,0.62,-0.03,942,26,13434,-39,9,-32,25,2
46,0.05,0.61,-0.03,916,36,13390,-39,10,-31,25,2
47,0.05,0.61,-0.03,866,-10,13464,-39,10,-31,25,2
48,0.05,0.61,-0.03,934,84,13464,-40,11,-30,25,2
49,0.04,0.60,-0.03,930,28,13366,-41,10,-32,25,2
50,0.04,0.60,-0.04,892,44,13446,-40,10,-31,25,2
51,0.04,0.59,-0.04,896,0,13498,-39,10,-30,25,2
52,0.04,0.59,-0.04,922,-14,13506,-39,9,-30,25,2
53,0.04,0.58,-0.04,910,-56,13448,-40,10,-30,25,2
54,0.04,0.58,-0.04,960,-28,13518,-39,9,-31,25,2
55,0.04,0.57,-0.04,936,-52,13470,-39,11,-30,25,2
56,0.04,0.57,-0.04,946,-22,13458,-40,10,-31,25,2
57,0.04,0.56,-0.04,922,-48,13532,-39,10,-30,25,2
58,0.04,0.56,-0.04,964,12,13362,-39,9,-30,25,2
59,0.04,0.55,-0.04,918,20,13458,-39,10,-30,25,2
60,0.04,0.55,-0.04,948,24,13466,-39,9,-31,25,2
61,0.03,0.54,-0.04,848,30,13412,-40,9,-31,25,2
62,0.03,0.54,-0.04,936,-6,13472,-39,10,-31,25,2
63,0.03,0.54,-0.04,924,20,13456,-40,9,-30,25,3
64,0.03,0.53,-0.04,902,6,13444,-38,11,-30,25,3
65,0.03,0.53,-0.04,914,-28,13488,-39,10,-30,25,3
66,0.03,0.52,-0.05,862,-38,13380,-39,10,-29,25,3
67,0.03,0.52,-0.05,1006,-4,13486,-39,10,-31,25,3
68,0.03,0.51,-0.05,936,60,13506,-38,10,-30,25,3
69,0.03,0.51,-0.05,922,-10,13578,-40,10,-32,25,3
70,0.03,0.51,-0.05,896,40,13454,-40,10,-32,25,3
71,0.03,0.50,-0.05,878,-12,13484,-40,9,-32,25,3
72,0.03,0.50,-0.05,942,-76,13510,-40,11,-29,25,3
73,0.03,0.49,-0.05,900,-22,13446,-39,11,-31,25,3
74,0.03,0.49,-0.05,894,-60,13488,-39,9,-31,25,3
75,0.03,0.49,-0.05,882,28,13522,-40,11,-30,25,3
76,0.03,0.48,-0.05,942,38,13522,-38,11,-31,25,3
77,0.02,0.48,-0.05,880,-14,13438,-39,9,-30,25,3
78,0.02,0.47,-0.06,864,-42,13600,-39,9,-31,25,3
79,0.02,0.47,-0.06,826,-14,13356,-38,10,-32,25,3
80,0.02,0.47,-0.06,946,-30,13518,-39,9,-32,25,3
81,0.02,0.46,-0.06,850,6,13410,-40,9,-31,25,3
