title=静止五分钟采集的第二次数据
time=2022-10-25 21:30
freq=100
note=相比第一次采集时，顺时针方向旋转了90度
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,0.03,0.33,-0.09,1206,41,13930,-58,-6,-17,25,3
2,0.03,0.37,-0.08,1264,38,13708,-60,-7,-16,25,3
3,0.03,0.37,-0.08,1202,26,13714,-59,-7,-18,25,3
4,0.04,0.36,-0.08,1276,4,13798,-60,-7,-17,25,3
5,0.03,0.36,-0.08,1238,16,13702,-58,-3,-18,25,3
6,0.03,0.36,-0.08,1222,-2,13740,-58,-8,-17,25,3
7,0.03,0.35,-0.08,1246,42,13690,-60,-9,-18,25,3
8,0.03,0.35,-0.08,1190,8,13698,-60,-9,-17,25,3
9,0.03,0.34,-0.09,1200,58,13648,-58,-5,-19,25,3
10,0.03,0.34,-0.09,1236,-24,13728,-59,-6,-19,25,3
11,0.03,0.34,-0.09,1234,14,13674,-59,-7,-17,25,3
12,0.03,0.33,-0.09,1218,40,13730,-58,-6,-17,25,3
13,0.03,0.33,-0.09,1228,66,13714,-59,-8,-17,25,3
14,0.03,0.33,-0.09,1248,2,13680,-57,-4,-17,25,3
15,0.03,0.33,-0.09,1216,38,13708,-59,-7,-18,25,3
16,0.03,0.32,-0.09,1302,74,13704,-60,-6,-17,25,3
17,0.03,0.32,-0.09,1226,56,13730,-58,-6,-19,25,3
18,0.03,0.32,-0.09,1198,36,13708,-60,-9,-20,25,3
19,0.03,0.32,-0.09,1282,22,13772,-58,-6,-18,25,3
20,0.03,0.32,-0.10,1272,52,13646,-58,-5,-16,25,3
21,0.03,0.31,-0.10,1304,-12,13794,-59,-6,-18,25,3
22,0.03,0.31,-0.10,1176,8,13666,-59,-4,-18,25,3
23,0.03,0.31,-0.10,1240,26,13726,-59,-8,-18,25,3
24,0.03,0.30,-0.10,1266,-18,13748,-58,-5,-17,25,3
25,0.03,0.30,-0.10,1272,94,13716,-58,-5,-17,25,3
26,0.03,0.30,-0.10,1210,-8,13672,-59,-7,-17,25,3
27,0.03,0.30,-0.10,1266,16,13740,-58,-8,-19,25,3
28,0.03,0.29,-0.10,1290,92,13750,-59,-6,-18,25,3
29,0.03,0.29,-0.10,1208,44,13686,-59,-6,-18,25,3
30,0.03,0.29,-0.10,1198,16,13710,-59,-7,-17,25,3
31,0.03,0.28,-0.10,1188,24,13682,-58,-8,-18,25,3
32,0.03,0.28,-0.11,1242,6,13774,-59,-7,-18,25,3
33,0.03,0.28,-0.11,1188,-26,13688,-57,-6,-18,25,3
34,0.03,0.28,-0.11,1208,-12,13716,-59,-8,-19,25,3
35,0.03,0.27,-0.11,1222,50,13648,-58,-8,-18,25,3
36,0.03,0.27,-0.11,1240,-4,13848,-59,-6,-18,25,3
37,0.03,0.27,-0.11,1256,84,13716,-59,-5,-19,25,3
38,0.03,0.26,-0.11,1266,70,13698,-59,-8,-18,25,3
39,0.03,0.26,-0.11,1256,84,13722,-60,-8,-17,25,3
40,0.03,0.26,-0.11,1230,20,13692,-59,-6,-18,25,3
41,0.03,0.26,-0.11,1266,20,13804,-59,-9,-19,25,3
42,0.02,0.25,-0.12,1252,16,13622,-58,-6,-19,25,3
43,0.02,0.25,-0.12,1166,-14,13610,-60,-7,-18,25,3
44,0.03,0.25,-0.12,1208,48,13736,-58,-5,-17,25,3
45,0.03,0.24,-0.12,1214,52,13670,-60,-9,-18,25,3
46,0.03,0.24,-0.12,1216,92,13794,-59,-7,-17,25,3
47,0.02,0.24,-0.12,1270,40,13838,-59,-9,-17,25,3
48,0.02,0.24,-0.12,1266,-16,13736,-58,-8,-18,25,4
49,0.02,0.24,-0.12,1220,40,13698,-59,-5,-18,25,4
50,0.02,0.23,-0.12,1234,48,13728,-59,-9,-18,25,4
51,0.02,0.23,-0.12,1274,0,13726,-60,-6,-18,25,4
52,0.02,0.23,-0.12,1252,40,13808,-58,-7,-19,25,4
53,0.02,0.23,-0.13,1276,30,13812,-59,-6,-18,25,4
54,0.02,0.22,-0.13,1258,88,13738,-60,-5,-17,25,4
55,0.02,0.22,-0.13,1284,0,13730,-60,-6,-17,25,4
56,0.02,0.22,-0.13,1286,-24,13728,-58,-7,-19,25,4
57,0.02,0.22,-0.13,1268,58,13676,-58,-7,-18,25,4
58,0.01,0.21,-0.13,1246,6,13690,-59,-8,-18,25,4
59,0.01,0.21,-0.13,1210,16,13684,-57,-6,-19,25,4
60,0.01,0.21,-0.13,1216,40,13706,-60,-6,-20,25,4
61,0.01,0.21,-0.13,1318,70,13756,-59,-9,-18,25,4
62,0.01,0.21,-0.13,1224,82,13668,-58,-7,-18,25,4
63,0.01,0.21,-0.13,1226,28,13764,-59,-7,-19,25,4
64,0.01,0.20,-0.14,1218,10,13748,-59,-9,-17,25,4
65,0.01,0.20,-0.14,1244,18,13718,-58,-9,-18,25,4
66,0.01,0.20,-0.14,1178,42,13754,-60,-8,-18,25,4
67,0.01,0.20,-0.14,1306,48,13744,-59,-7,-18,25,4
68,0.01,0.20,-0.14,1138,-24,13782,-58,-7,-19,25,4
69,0.01,0.19,-0.14,1218,6,13730,-60,-8,-18,25,4
70,0.01,0.19,-0.14,1236,28,13718,-58,-8,-18,25,4
71,0.01,0.19,-0.14,1190,10,13798,-59,-8,-16,25,4
72,0.01,0.19,-0.14,1274,34,13702,-58,-5,-17,25,4
73,0.01,0.19,-0.14,1164,16,13718,-59,-7,-18,25,4
74,0.01,0.18,-0.14,1242,44,13790,-59,-6,-17,25,4
75,0.01,0.18,-0.14,1274,14,13726,-60,-9,-17,25,4
76,0.01,0.18,-0.14,1260,84,13688,-59,-7,-18,25,4
77,0.01,0.18,-0.14,1320,44,13772,-58,-12,-17,25,4
78,0.01,0.18,-0.15,1252,-28,13644,-59,-7,-17,25,4
79,0.01,0.17,-0.15,1224,6,13694,-58,-9,-17,25,4
80,0.01,0.17,-0.15,1224,28,13742,-59,-5,-18,25,4
81,0.01,0.17,-0.15,1240,52,13718,-59,-6,-19,25,4
82,0.01,0.17,-0.15,1240,-62,13780,-59,-9,-18,25,4
83,0.01,0.17,-0.15,1250,-28,13696,-59,-6,-18,25,4
84,0.01,0.16,-0.15,1218,6,13754,-60,-7,-18,25,4
85,0.01,0.16,-0.15,1248,-28,13726,-58,-7,-17,25,4
86,0.01,0.16,-0.15,1226,30,13696,-58,-7,-17,25,4
87,0.01,0.15,-0.15,1168,34,13676,-59,-7,-17,25,4
88,0.01,0.15,-0.15,1206,-8,13766,-61,-8,-18,25,4
89,0.01,0.15,-0.15,1226,54,13666,-58,-5,-18,25,4
90,0.01,0.15,-0.16,1256,16,13730,-58,-10,-18,25,4
91,0.00,0.15,-0.16,1188,6,13646,-57,-8,-18,25,4
92,0.00,0.15,-0.16,1226,50,13746,-59,-6,-18,25,4
93,0.00,0.15,-0.16,1234,12,13844,-59,-6,-18,25,4
94,0.01,0.14,-0.16,1230,20,13662,-59,-8,-19,25,4
95,0.01,0.14,-0.16,1256,20,13720,-59,-5,-18,25,4
96,0.01,0.14,-0.16,1216,18,13816,-60,-8,-19,25,4
97,0.01,0.14,-0.16,1230,12,13774,-58,-6,-18,25,4
98,0.01,0.14,-0.16,1284,-10,13866,-59,-8,-18,25,4
99,0.00,0.14,-0.16,1200,58,13702,-59,-8,-18,25,4
100,0.00,0.14,-0.17,1218,28,13750,-59,-8,-17,25,4
101,0.00,0.13,-0.17,1230,26,13696,-59,-7,-18,25,4
102,0.00,0.13,-0.17,1256,-16,13758,-60,-7,-18,25,4
103,0.00,0.13,-0.17,1274,-6,13700,-59,-6,-18,25,4
104,0.00,0.13,-0.17,1182,36,13622,-59,-5,-17,25,4
105,0.00,0.13,-0.17,1256,38,13768,-59,-6,-17,25,4
106,0.00,0.12,-0.17,1246,56,13768,-59,-6,-17,25,4
107,0.00,0.12,-0.17,1232,40,13796,-60,-8,-18,25,4
108,0.00,0.12,-0.17,1226,-4,13658,-59,-7,-19,25,4
109,0.00,0.12,-0.17,1180,74,13710,-59,-8,-18,25,4
110,0.00,0.12,-0.17,1222,54,13716,-60,-6,-18,25,4
111,0.00,0.11,-0.17,1258,28,13812,-58,-7,-18,25,4
112,0.00,0.11,-0.18,1182,10,13856,-59,-6,-18,25,4
113,0.00,0.11,-0.18,1166,14,13734,-58,-6,-18,25,4
114,0.00,0.11,-0.18,1178,-2,13738,-60,-8,-18,25,4
115,0.00,0.11,-0.18,1230,44,13660,-59,-8,-18,25,4
116,0.00,0.11,-0.18,1272,74,13672,-58,-7,-18,25,4
117,0.00,0.11,-0.18,1160,72,13682,-59,-8,-18,25,4
118,0.00,0.11,-0.18,1244,46,13704,-59,-5,-18,25,4
119,0.00,0.11,-0.18,1204,32,13732,-58,-8,-18,25,4
120,0.00,0.10,-0.18,1190,82,13666,-57,-7,-18,25,4
121,0.00,0.10,-0.18,1286,104,13760,-60,-6,-19,25,4
122,0.00,0.10,-0.19,1202,-24,13646,-59,-6,-18,25,4
123,0.00,0.10,-0.19,1218,6,13748,-58,-8,-17,25,4
124,0.00,0.10,-0.19,1238,46,13686,-61,-7,-18,25,4
125,0.00,0.10,-0.19,1280,8,13752,-59,-7,-19,25,4
126,0.00,0.10,-0.19,1232,-52,13826,-60,-6,-18,25,4
127,0.00,0.09,-0.19,1206,36,13686,-59,-8,-18,25,4
128,0.00,0.09,-0.19,1266,16,13710,-60,-9,-19,25,4
129,0.00,0.09,-0.19,1238,60,13744,-59,-8,-18,25,4
130,0.00,0.09,-0.19,1176,-2,13706,-60,-6,-17,25,4
131,0.00,0.09,-0.19,1250,18,13706,-59,-8,-17,25,4
132,-0.00,0.09,-0.20,1296,-22,13714,-59,-7,-18,25,4
133,-0.00,0.08,-0.20,1210,-12,13718,-60,-9,-18,25,4
134,-0.00,0.08,-0.20,1164,-34,13672,-57,-7,-19,25,4
135,-0.00,0.08,-0.20,1246,16,13694,-59,-7,-18,25,4
136,-0.00,0.08,-0.20,1228,20,13642,-58,-8,-18,25,4
137,-0.00,0.08,-0.20,1258,96,13674,-60,-6,-18,25,4
138,-0.00,0.08,-0.20,1214,42,13762,-60,-6,-17,25,4
139,-0.00,0.08,-0.20,1184,48,13696,-59,-7,-17,25,4
140,-0.00,0.08,-0.20,1280,34,13798,-59,-8,-18,25,4
141,-0.01,0.08,-0.20,1288,50,13696,-59,-9,-18,25,4
142,-0.01,0.08,-0.21,1146,38,13750,-58,-7,-17,25,4
143,-0.01,0.07,-0.21,1194,40,13650,-59,-7,-18,25,4
144,-0.01,0.07,-0.21,1156,10,13670,-58,-7,-18,25,4
145,-0.01,0.07,-0.21,1232,-10,13848,-59,-5,-17,25,4
146,-0.00,0.07,-0.21,1298,10,13798,-60,-6,-18,25,5
147,-0.01,0.07,-0.21,1198,-12,13702,-59,-9,-17,25,5
148,-0.01,0.07,-0.21,1280,44,13716,-58,-6,-17,25,5
149,-0.01,0.07,-0.21,1226,-48,13742,-59,-9,-19,25,5
150,-0.01,0.06,-0.21,1232,24,13766,-58,-6,-18,25,5
151,-0.01,0.06,-0.21,1194,-62,13686,-58,-6,-18,25,5
152,-0.01,0.06,-0.21,1194,46,13650,-60,-7,-18,25,5
153,-0.01,0.06,-0.21,1244,24,13672,-59,-5,-18,25,5
154,-0.01,0.06,-0.22,1224,-18,13766,-58,-8,-18,25,5
155,-0.01,0.06,-0.22,1200,20,13640,-59,-7,-18,25,5
156,-0.01,0.06,-0.22,1272,50,13754,-58,-7,-18,25,5
157,-0.01,0.06,-0.22,1278,22,13800,-60,-7,-17,25,5
158,-0.01,0.05,-0.22,1186,-18,13724,-59,-6,-19,25,5
159,-0.01,0.05,-0.22,1222,38,13622,-59,-6,-17,25,5
160,-0.01,0.05,-0.22,1262,-4,13746,-59,-6,-19,25,5
161,-0.01,0.05,-0.22,1254,48,13666,-58,-6,-18,25,5
162,-0.01,0.05,-0.22,1286,40,13776,-59,-7,-17,25,5
163,-0.01,0.05,-0.22,1198,16,13662,-59,-8,-17,25,5
164,-0.01,0.05,-0.22,1226,20,13742,-57,-6,-18,25,5
165,-0.01,0.05,-0.23,1242,26,13746,-60,-9,-18,25,5
166,-0.01,0.05,-0.23,1254,18,13732,-59,-7,-17,25,5
167,-0.01,0.05,-0.23,1290,-52,13780,-59,-6,-17,25,5
168,-0.01,0.04,-0.23,1250,36,13692,-58,-6,-18,25,5
169,-0.01,0.04,-0.23,1300,2,13706,-59,-8,-16,25,5
170,-0.02,0.04,-0.23,1202,52,13704,-59,-9,-17,25,5
171,-0.02,0.04,-0.23,1252,16,13650,-59,-8,-18,25,5
172,-0.02,0.04,-0.23,1262,62,13718,-58,-8,-17,25,5
173,-0.02,0.04,-0.23,1270,44,13616,-59,-8,-18,25,5
174,-0.02,0.04,-0.23,1206,24,13762,-58,-6,-19,25,5
175,-0.02,0.04,-0.23,1240,58,13810,-57,-7,-20,25,5
176,-0.02,0.04,-0.24,1242,-38,13678,-59,-9,-19,25,5
177,-0.02,0.04,-0.24,1210,-2,13662,-59,-6,-17,25,5
178,-0.02,0.04,-0.24,1272,-4,13692,-59,-6,-18,25,5
179,-0.02,0.04,-0.24,1222,14,13700,-58,-10,-19,25,5
180,-0.02,0.03,-0.24,1258,18,13802,-59,-5,-17,25,5
181,-0.02,0.03,-0.24,1250,36,13786,-59,-8,-19,25,5
182,-0.02,0.03,-0.24,1286,8,13732,-60,-7,-18,25,5
183,-0.02,0.03,-0.24,1214,6,13750,-59,-4,-18,25,5
184,-0.02,0.03,-0.24,1184,-14,13666,-58,-7,-18,25,5
185,-0.02,0.03,-0.24,1246,-30,13756,-57,-8,-17,25,5
186,-0.02,0.03,-0.25,1256,22,13784,-57,-7,-19,25,5
187,-0.02,0.03,-0.25,1216,-42,13722,-59,-5,-18,25,5
188,-0.02,0.02,-0.25,1206,-10,13682,-59,-5,-18,25,5
189,-0.02,0.02,-0.25,1216,56,13672,-58,-7,-18,25,5
190,-0.02,0.02,-0.25,1246,48,13694,-59,-7,-18,25,5
191,-0.02,0.02,-0.25,1246,36,13656,-58,-5,-18,25,5
192,-0.02,0.02,-0.25,1208,14,13780,-58,-9,-18,25,5
193,-0.02,0.02,-0.25,1198,2,13766,-57,-5,-18,25,5
194,-0.02,0.02,-0.25,1278,2,13722,-59,-4,-17,25,5
195,-0.02,0.02,-0.25,1228,40,13748,-59,-8,-18,25,5
196,-0.02,0.02,-0.26,1246,66,13628,-59,-5,-18,25,5
197,-0.02,0.02,-0.26,1238,82,13808,-60,-8,-19,25,5
198,-0.02,0.02,-0.26,1240,16,13730,-58,-6,-17,25,5
199,-0.02,0.02,-0.26,1200,18,13778,-59,-8,-18,25,5
200,-0.02,0.02,-0.26,1238,10,13758,-59,-7,-18,25,5
201,-0.02,0.02,-0.26,1256,0,13602,-58,-6,-18,25,5
202,-0.02,0.02,-0.26,1276,-10,13760,-60,-8,-17,25,5
203,-0.02,0.02,-0.26,1208,-12,13686,-59,-6,-18,25,5
204,-0.02,0.02,-0.26,1194,78,13738,-60,-7,-18,25,5
205,-0.02,0.02,-0.26,1302,2,13786,-59,-6,-17,25,5
206,-0.02,0.02,-0.26,1222,26,13772,-59,-7,-18,25,5
207,-0.02,0.02,-0.26,1252,36,13750,-58,-5,-17,25,5
208,-0.02,0.01,-0.27,1228,-10,13694,-60,-6,-18,25,5
209,-0.02,0.01,-0.27,1242,-14,13730,-58,-6,-17,25,5
210,-0.02,0.01,-0.27,1208,30,13706,-59,-3,-17,25,5
211,-0.02,0.01,-0.27,1208,28,13760,-58,-6,-18,25,5
212,-0.02,0.01,-0.27,1176,8,13654,-59,-7,-18,25,5
213,-0.01,0.01,-0.27,1252,12,13712,-57,-6,-17,25,5
214,-0.01,0.01,-0.27,1176,36,13716,-58,-6,-18,25,5
215,-0.01,0.01,-0.27,1188,8,13716,-59,-4,-18,25,5
216,-0.01,0.01,-0.27,1140,-38,13736,-60,-7,-17,25,5
217,-0.01,0.01,-0.27,1254,34,13700,-57,-5,-19,25,5
218,-0.01,0.01,-0.27,1218,80,13772,-59,-5,-18,25,5
219,-0.01,0.01,-0.27,1254,-8,13684,-59,-5,-18,25,5
220,-0.01,0.01,-0.27,1270,14,13778,-57,-6,-17,25,5
221,-0.01,0.01,-0.27,1240,-26,13728,-59,-7,-18,25,5
222,-0.01,0.00,-0.28,1228,56,13784,-59,-8,-18,25,5
223,-0.01,0.00,-0.28,1276,18,13660,-58,-7,-18,25,5
224,-0.01,0.00,-0.28,1210,38,13714,-59,-6,-16,25,5
225,-0.01,0.00,-0.28,1274,72,13718,-58,-7,-17,25,5
226,-0.01,0.00,-0.28,1212,4,13794,-58,-6,-18,25,5
227,-0.01,0.00,-0.28,1238,54,13766,-60,-8,-18,25,5
228,-0.01,0.00,-0.28,1266,32,13752,-59,-7,-17,25,5
229,-0.01,0.00,-0.28,1208,28,13660,-59,-7,-19,25,5
230,-0.01,0.00,-0.28,1230,2,13694,-59,-11,-17,25,5
231,-0.01,0.00,-0.28,1298,42,13742,-58,-6,-17,25,5
232,-0.01,0.00,-0.28,1224,-28,13794,-59,-6,-17,25,5
233,-0.01,-0.00,-0.28,1304,10,13658,-60,-7,-18,25,5
234,-0.01,-0.00,-0.28,1208,38,13830,-60,-6,-18,25,5
235,-0.01,-0.00,-0.29,1186,20,13714,-58,-7,-18,25,5
236,-0.01,-0.00,-0.29,1260,22,13722,-59,-6,-19,25,5
237,-0.01,-0.00,-0.29,1266,16,13742,-59,-8,-18,25,5
238,-0.01,-0.00,-0.29,1240,-14,13698,-60,-7,-18,25,5
239,-0.01,-0.00,-0.29,1246,72,13696,-60,-6,-18,25,5
240,-0.02,-0.00,-0.29,1212,20,13688,-60,-6,-17,25,5
241,-0.02,-0.01,-0.29,1290,28,13646,-60,-6,-17,25,5
242,-0.02,-0.01,-0.29,1266,48,13808,-60,-8,-17,25,5
243,-0.02,-0.01,-0.29,1232,-18,13592,-61,-6,-17,25,5
244,-0.02,-0.01,-0.29,1216,-12,13756,-63,-9,-17,25,6
245,-0.02,-0.02,-0.29,1306,-56,13658,-58,-7,-17,25,6
246,-0.02,-0.02,-0.29,1250,-32,13688,-58,-5,-18,25,6
247,-0.02,-0.02,-0.29,1264,20,13708,-57,-5,-18,25,6
248,-0.02,-0.02,-0.30,1218,42,13696,-56,-5,-19,25,6
249,-0.01,-0.02,-0.30,1218,50,13706,-60,-6,-18,25,6
250,-0.01,-0.02,-0.30,1238,16,13734,-61,-8,-18,25,6
251,-0.01,-0.02,-0.30,1236,-18,13694,-61,-7,-18,25,6
252,-0.01,-0.02,-0.30,1280,-10,13720,-62,-9,-18,25,6
253,-0.02,-0.02,-0.30,1238,56,13796,-61,-9,-18,25,6
254,-0.02,-0.02,-0.30,1260,72,13706,-60,-5,-18,25,6
255,-0.02,-0.02,-0.30,1238,14,13750,-60,-11,-18,25,6
256,-0.02,-0.03,-0.30,1242,34,13690,-59,-4,-17,25,6
257,-0.02,-0.03,-0.30,1244,22,13688,-61,-11,-18,25,6
258,-0.02,-0.03,-0.31,1248,24,13738,-59,-8,-18,25,6
259,-0.02,-0.03,-0.31,1250,28,13786,-62,-6,-18,25,6
260,-0.02,-0.03,-0.31,1208,68,13656,-61,-7,-17,25,6
261,-0.02,-0.03,-0.31,1164,16,13758,-60,-8,-18,25,6
262,-0.02,-0.04,-0.31,1180,-10,13670,-60,-8,-17,25,6
263,-0.02,-0.04,-0.31,1196,-2,13832,-57,-7,-18,25,6
264,-0.01,-0.04,-0.31,1188,74,13744,-60,-8,-18,25,6
265,-0.01,-0.04,-0.31,1214,44,13804,-59,-9,-17,25,6
266,-0.01,-0.04,-0.31,1252,46,13720,-58,-9,-16,25,6
267,-0.01,-0.04,-0.31,1302,76,13790,-59,-7,-17,25,6
268,-0.02,-0.04,-0.31,1310,46,13692,-59,-7,-17,25,6
269,-0.02,-0.03,-0.31,1300,20,13794,-60,-6,-17,25,6
270,-0.02,-0.04,-0.31,1280,90,13716,-58,-6,-17,25,6
271,-0.02,-0.04,-0.31,1216,72,13694,-60,-8,-18,25,6
272,-0.02,-0.04,-0.31,1256,48,13750,-58,-6,-17,25,6
273,-0.02,-0.04,-0.31,1234,4,13748,-60,-5,-19,25,6
274,-0.02,-0.04,-0.32,1280,62,13730,-59,-5,-19,25,6
275,-0.02,-0.04,-0.32,1210,30,13712,-60,-7,-17,25,6
276,-0.02,-0.04,-0.32,1216,18,13668,-59,-7,-18,25,6
277,-0.02,-0.04,-0.32,1216,38,13746,-57,-6,-17,25,6
278,-0.02,-0.04,-0.32,1256,4,13680,-59,-7,-19,25,6
279,-0.02,-0.04,-0.32,1270,18,13696,-58,-6,-18,25,6
280,-0.02,-0.04,-0.32,1238,4,13710,-60,-7,-18,25,6
281,-0.02,-0.04,-0.32,1242,22,13864,-58,-6,-17,25,6
282,-0.02,-0.04,-0.32,1220,28,13732,-61,-5,-17,25,6
283,-0.02,-0.04,-0.32,1266,12,13710,-60,-8,-17,25,6
284,-0.02,-0.04,-0.33,1264,56,13662,-58,-7,-18,25,6
285,-0.02,-0.04,-0.33,1132,66,13702,-59,-7,-17,25,6
286,-0.02,-0.04,-0.33,1262,-32,13726,-58,-8,-18,25,6
287,-0.02,-0.04,-0.33,1268,48,13696,-57,-7,-19,25,6
288,-0.02,-0.04,-0.33,1158,-44,13758,-60,-7,-18,25,6
289,-0.02,-0.04,-0.33,1248,44,13676,-58,-7,-18,25,6
290,-0.01,-0.04,-0.33,1200,26,13684,-59,-6,-17,25,6
291,-0.01,-0.04,-0.33,1254,46,13766,-60,-7,-18,25,6
292,-0.01,-0.04,-0.33,1210,-28,13658,-58,-5,-18,25,6
293,-0.01,-0.04,-0.33,1270,56,13690,-59,-5,-18,25,6
294,-0.01,-0.04,-0.33,1220,38,13742,-58,-7,-18,25,6
295,-0.01,-0.04,-0.34,1172,2,13694,-59,-7,-19,25,6
296,-0.01,-0.04,-0.34,1238,-34,13696,-60,-7,-18,25,6
297,-0.01,-0.05,-0.34,1272,-40,13684,-59,-8,-18,25,6
298,-0.01,-0.05,-0.34,1206,4,13692,-60,-8,-18,25,6
299,-0.01,-0.05,-0.34,1242,62,13682,-59,-6,-19,25,6
300,-0.01,-0.05,-0.34,1242,-4,13748,-58,-5,-18,25,6
