title=静止五分钟采集的第三次数据
time=2022-10-26 09:30
freq=100
note=相比第一次采集时，顺时针方向旋转了180度，板1，24v
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,0.15,0.35,-0.05,1336,304,13620,-61,-6,-16,25,3
2,0.15,0.36,-0.04,1262,302,13568,-60,-7,-18,25,3
3,0.15,0.36,-0.05,1272,384,13656,-60,-7,-19,25,3
4,0.15,0.35,-0.05,1234,392,13642,-60,-6,-18,25,3
5,0.15,0.35,-0.05,1326,354,13620,-60,-6,-16,25,3
6,0.15,0.35,-0.05,1256,364,13524,-60,-8,-15,25,3
7,0.15,0.35,-0.05,1360,408,13600,-60,-9,-16,25,3
8,0.15,0.34,-0.05,1350,362,13606,-59,-7,-16,25,3
9,0.15,0.34,-0.05,1344,332,13548,-60,-7,-16,25,3
10,0.15,0.34,-0.05,1352,288,13710,-60,-9,-19,25,3
11,0.14,0.33,-0.05,1348,290,13580,-59,-8,-18,25,3
12,0.14,0.33,-0.05,1238,308,13638,-60,-5,-19,25,3
13,0.14,0.33,-0.05,1316,290,13538,-58,-9,-17,25,3
14,0.14,0.32,-0.05,1336,214,13646,-59,-8,-17,25,3
15,0.14,0.32,-0.05,1244,324,13590,-61,-7,-18,25,3
16,0.14,0.31,-0.05,1328,336,13702,-61,-9,-17,25,3
17,0.14,0.31,-0.06,1310,346,13574,-60,-8,-18,25,3
18,0.14,0.31,-0.06,1292,312,13604,-60,-8,-17,25,3
19,0.14,0.30,-0.06,1272,358,13670,-60,-7,-17,25,3
20,0.14,0.30,-0.06,1298,312,13650,-61,-7,-16,25,3
21,0.14,0.30,-0.06,1286,312,13590,-60,-6,-17,25,3
22,0.14,0.29,-0.06,1330,356,13582,-61,-5,-17,25,3
23,0.14,0.29,-0.06,1346,322,13672,-60,-7,-16,25,3
24,0.15,0.29,-0.06,1284,426,13680,-59,-8,-18,25,3
25,0.14,0.29,-0.06,1374,292,13718,-59,-8,-17,25,3
26,0.14,0.29,-0.06,1290,340,13542,-59,-5,-16,25,3
27,0.14,0.29,-0.06,1360,354,13622,-59,-8,-16,25,3
28,0.14,0.28,-0.06,1312,368,13606,-60,-5,-16,25,3
29,0.15,0.28,-0.06,1238,332,13580,-58,-6,-17,25,3
30,0.15,0.28,-0.06,1314,338,13712,-60,-5,-17,25,3
31,0.15,0.28,-0.06,1266,316,13562,-59,-5,-18,25,3
