title=静止五分钟采集的第四次数据
time=2022-10-26 10:10
freq=100
note=相比第一次采集时，顺时针方向旋转了270度，板1，24v
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,0.04,0.37,-0.05,1004,116,13562,-58,-6,-17,25,3
2,0.04,0.36,-0.06,988,154,13674,-58,-7,-17,25,3
3,0.04,0.39,-0.05,980,172,13774,-58,-8,-18,25,3
4,0.04,0.39,-0.05,970,168,13638,-58,-5,-18,25,3
5,0.04,0.39,-0.05,1038,164,13646,-57,-6,-17,25,3
6,0.04,0.38,-0.05,942,200,13596,-59,-7,-18,25,3
7,0.04,0.38,-0.05,998,132,13706,-58,-6,-18,25,3
8,0.04,0.38,-0.05,892,170,13716,-58,-5,-17,25,3
9,0.04,0.37,-0.05,992,218,13574,-58,-6,-17,25,3
10,0.04,0.37,-0.05,984,136,13586,-58,-7,-18,25,3
11,0.04,0.37,-0.05,1014,116,13662,-58,-6,-17,25,3
12,0.04,0.36,-0.06,988,164,13694,-58,-7,-17,25,3
13,0.04,0.36,-0.06,1006,182,13602,-58,-7,-18,25,3
14,0.04,0.36,-0.06,952,242,13708,-58,-8,-17,25,3
15,0.04,0.35,-0.06,984,182,13630,-58,-6,-18,25,3
16,0.04,0.35,-0.06,978,110,13722,-58,-7,-17,25,3
17,0.04,0.35,-0.06,1020,128,13642,-58,-7,-18,25,3
18,0.04,0.34,-0.06,932,188,13686,-58,-6,-17,25,3
19,0.04,0.34,-0.06,1048,262,13622,-57,-5,-19,25,3
20,0.04,0.34,-0.06,962,164,13646,-58,-7,-18,25,3
21,0.04,0.34,-0.06,1010,128,13624,-58,-6,-17,25,3
22,0.04,0.33,-0.06,974,162,13666,-58,-5,-17,25,3
23,0.04,0.33,-0.06,986,172,13552,-58,-5,-17,25,3
24,0.04,0.33,-0.06,966,196,13644,-58,-4,-17,25,3
25,0.04,0.32,-0.06,944,178,13678,-57,-9,-17,25,3
26,0.04,0.32,-0.06,1034,154,13656,-58,-7,-17,25,3
27,0.04,0.32,-0.06,1010,178,13646,-57,-7,-19,25,3
28,0.04,0.32,-0.07,1034,138,13656,-58,-5,-17,25,3
29,0.04,0.31,-0.07,1000,172,13614,-59,-8,-17,25,3
30,0.03,0.31,-0.07,1016,184,13642,-58,-7,-16,25,3
31,0.03,0.31,-0.07,988,232,13684,-59,-5,-17,25,3
32,0.03,0.31,-0.07,970,154,13682,-57,-6,-17,25,3
33,0.03,0.30,-0.07,996,224,13650,-58,-3,-17,25,3
34,0.03,0.30,-0.07,1016,176,13644,-58,-6,-17,25,3
35,0.03,0.30,-0.07,1002,170,13630,-58,-6,-17,25,3
36,0.03,0.30,-0.07,978,204,13638,-58,-5,-18,25,3
37,0.03,0.29,-0.07,948,172,13656,-58,-8,-17,25,3
38,0.03,0.29,-0.07,944,174,13626,-59,-6,-18,25,3
39,0.03,0.29,-0.07,966,180,13560,-58,-4,-18,25,3
40,0.04,0.28,-0.07,1002,184,13734,-58,-7,-16,25,3
41,0.04,0.28,-0.07,1002,176,13704,-57,-5,-17,25,3
42,0.04,0.28,-0.07,938,234,13588,-58,-6,-17,25,3
43,0.04,0.28,-0.07,1022,138,13672,-59,-9,-17,25,3
44,0.04,0.28,-0.07,980,192,13676,-57,-6,-18,25,3
45,0.03,0.27,-0.07,988,226,13528,-58,-6,-18,25,3
46,0.04,0.27,-0.07,922,196,13640,-57,-5,-17,25,3
47,0.03,0.27,-0.07,1006,214,13614,-59,-7,-18,25,3
48,0.04,0.27,-0.07,932,174,13676,-59,-6,-18,25,3
49,0.03,0.26,-0.08,992,144,13646,-57,-6,-18,25,4
50,0.03,0.26,-0.08,1000,224,13782,-59,-9,-18,25,4
51,0.03,0.26,-0.08,952,172,13516,-58,-5,-18,25,4
52,0.03,0.26,-0.08,964,146,13718,-58,-6,-18,25,4
53,0.03,0.26,-0.08,974,192,13596,-57,-7,-18,25,4
54,0.03,0.25,-0.08,1000,208,13622,-59,-9,-18,25,4
55,0.03,0.25,-0.08,1008,140,13572,-58,-7,-18,25,4
56,0.03,0.25,-0.08,964,242,13736,-58,-7,-17,25,4
57,0.03,0.25,-0.08,926,192,13592,-57,-4,-17,25,4
58,0.03,0.25,-0.08,968,176,13618,-57,-7,-17,25,4
59,0.03,0.25,-0.08,946,186,13650,-58,-8,-18,25,4
60,0.03,0.24,-0.08,968,194,13734,-58,-8,-18,25,4
61,0.03,0.24,-0.08,990,158,13716,-57,-7,-17,25,4
62,0.03,0.24,-0.08,984,180,13694,-58,-5,-18,25,4
63,0.03,0.24,-0.08,968,210,13634,-58,-6,-19,25,4
64,0.03,0.24,-0.09,906,178,13598,-58,-5,-17,25,4
65,0.03,0.24,-0.09,944,150,13644,-58,-5,-17,25,4
66,0.03,0.24,-0.09,962,212,13626,-58,-7,-18,25,4
67,0.03,0.23,-0.09,980,208,13742,-58,-5,-18,25,4
68,0.03,0.23,-0.09,898,140,13710,-58,-7,-17,25,4
69,0.03,0.23,-0.09,946,214,13608,-58,-6,-18,25,4
70,0.03,0.23,-0.09,946,196,13654,-58,-7,-17,25,4
71,0.03,0.23,-0.09,980,134,13660,-59,-5,-18,25,4
72,0.03,0.23,-0.09,976,168,13644,-58,-8,-18,25,4
73,0.03,0.22,-0.09,968,176,13666,-58,-7,-18,25,4
74,0.03,0.22,-0.09,920,226,13592,-58,-6,-17,25,4
75,0.03,0.22,-0.09,960,230,13580,-58,-6,-18,25,4
76,0.03,0.22,-0.09,988,196,13692,-58,-8,-18,25,4
77,0.03,0.22,-0.09,1002,178,13734,-58,-6,-18,25,4
78,0.03,0.21,-0.09,1030,170,13662,-59,-7,-18,25,4
79,0.03,0.21,-0.09,964,136,13722,-59,-7,-17,25,4
80,0.03,0.21,-0.09,992,188,13642,-59,-6,-17,25,4
81,0.03,0.21,-0.09,956,222,13726,-58,-6,-18,25,4
82,0.03,0.21,-0.10,950,170,13682,-57,-5,-19,25,4
83,0.03,0.21,-0.10,1018,164,13644,-58,-7,-18,25,4
84,0.03,0.20,-0.10,1002,224,13666,-58,-7,-18,25,4
85,0.03,0.20,-0.10,998,158,13726,-57,-6,-17,25,4
86,0.03,0.20,-0.10,990,152,13690,-58,-7,-18,25,4
87,0.03,0.20,-0.10,960,158,13702,-58,-7,-17,25,4
88,0.03,0.20,-0.10,984,122,13714,-58,-6,-17,25,4
89,0.03,0.20,-0.10,970,146,13660,-58,-7,-17,25,4
90,0.03,0.19,-0.10,996,110,13668,-58,-6,-18,25,4
91,0.03,0.19,-0.10,942,246,13690,-59,-7,-17,25,4
92,0.03,0.19,-0.10,928,136,13666,-58,-6,-17,25,4
93,0.03,0.19,-0.10,984,148,13634,-58,-6,-17,25,4
94,0.03,0.19,-0.10,1046,148,13666,-58,-7,-17,25,4
95,0.03,0.18,-0.10,932,174,13634,-57,-5,-18,25,4
96,0.03,0.18,-0.10,960,90,13676,-57,-6,-18,25,4
97,0.03,0.18,-0.10,996,142,13750,-58,-7,-17,25,4
98,0.03,0.18,-0.10,986,186,13722,-58,-7,-18,25,4
99,0.03,0.18,-0.11,994,176,13696,-58,-7,-17,25,4
100,0.03,0.18,-0.11,1004,150,13560,-58,-6,-17,25,4
101,0.03,0.17,-0.11,986,204,13640,-58,-6,-18,25,4
102,0.02,0.17,-0.11,954,168,13668,-58,-7,-18,25,4
103,0.02,0.17,-0.11,976,184,13610,-58,-6,-18,25,4
104,0.02,0.17,-0.11,1018,232,13680,-59,-5,-17,25,4
105,0.03,0.17,-0.11,966,140,13662,-58,-5,-17,25,4
106,0.02,0.17,-0.11,1024,228,13686,-59,-6,-18,25,4
107,0.02,0.17,-0.11,950,124,13612,-58,-6,-18,25,4
108,0.02,0.17,-0.11,966,170,13730,-59,-6,-18,25,4
109,0.02,0.16,-0.11,932,192,13598,-59,-8,-19,25,4
110,0.02,0.16,-0.11,994,176,13626,-58,-6,-18,25,4
111,0.02,0.16,-0.11,944,232,13714,-57,-6,-18,25,4
112,0.02,0.16,-0.12,962,226,13642,-58,-8,-19,25,4
113,0.02,0.16,-0.12,1050,166,13648,-58,-6,-17,25,4
114,0.02,0.16,-0.12,976,170,13652,-59,-9,-17,25,4
115,0.02,0.15,-0.12,934,210,13684,-59,-6,-18,25,4
116,0.02,0.15,-0.12,996,190,13744,-58,-7,-16,25,4
117,0.02,0.15,-0.12,1008,164,13668,-57,-6,-17,25,4
118,0.02,0.15,-0.12,968,196,13752,-57,-10,-17,25,4
119,0.02,0.15,-0.12,982,202,13602,-58,-7,-17,25,4
120,0.02,0.15,-0.12,1004,176,13612,-59,-6,-17,25,4
121,0.02,0.15,-0.12,974,216,13654,-58,-5,-17,25,4
122,0.02,0.15,-0.12,944,216,13664,-58,-7,-17,25,4
123,0.02,0.15,-0.12,1012,146,13652,-59,-7,-18,25,4
124,0.02,0.14,-0.12,988,160,13660,-58,-8,-18,25,4
125,0.02,0.14,-0.12,1000,212,13658,-59,-4,-16,25,4
126,0.02,0.14,-0.12,972,202,13686,-58,-7,-18,25,4
127,0.02,0.14,-0.12,1018,164,13666,-58,-8,-18,25,4
128,0.02,0.14,-0.12,936,224,13538,-58,-7,-17,25,4
129,0.02,0.14,-0.12,974,168,13646,-58,-7,-18,25,4
130,0.02,0.14,-0.12,972,218,13708,-58,-8,-17,25,4
131,0.02,0.14,-0.12,970,152,13648,-58,-7,-17,25,4
132,0.02,0.14,-0.13,1000,206,13660,-58,-6,-18,25,4
133,0.02,0.13,-0.13,976,180,13664,-57,-8,-18,25,4
134,0.02,0.13,-0.13,1032,240,13618,-57,-6,-17,25,4
135,0.02,0.13,-0.13,988,182,13652,-59,-5,-18,25,4
136,0.02,0.13,-0.13,1026,268,13766,-59,-8,-18,25,4
137,0.02,0.13,-0.13,988,118,13588,-57,-5,-18,25,4
138,0.02,0.13,-0.13,928,188,13530,-59,-7,-17,25,4
139,0.02,0.13,-0.13,980,110,13668,-58,-7,-17,25,4
140,0.02,0.13,-0.13,1012,202,13694,-58,-7,-17,25,4
141,0.02,0.13,-0.13,966,196,13626,-58,-8,-18,25,4
142,0.02,0.12,-0.13,970,150,13712,-59,-7,-18,25,4
143,0.02,0.12,-0.13,948,188,13648,-59,-7,-17,25,4
144,0.01,0.12,-0.13,1022,244,13584,-58,-7,-18,25,4
145,0.01,0.12,-0.13,966,216,13684,-59,-8,-18,25,4
146,0.01,0.12,-0.13,1034,168,13656,-58,-6,-18,25,4
147,0.01,0.12,-0.13,992,224,13582,-59,-8,-18,25,5
148,0.01,0.12,-0.14,984,164,13654,-58,-6,-18,25,5
149,0.01,0.12,-0.14,1016,208,13630,-58,-6,-19,25,5
150,0.01,0.12,-0.14,926,162,13680,-58,-8,-17,25,5
151,0.01,0.12,-0.14,988,240,13636,-58,-6,-18,25,5
152,0.01,0.11,-0.14,1022,154,13670,-58,-9,-17,25,5
153,0.01,0.11,-0.14,1000,216,13630,-58,-6,-18,25,5
154,0.01,0.11,-0.14,994,200,13660,-59,-7,-17,25,5
155,0.01,0.11,-0.14,1004,192,13652,-58,-6,-18,25,5
156,0.01,0.11,-0.14,982,178,13640,-58,-7,-18,25,5
157,0.01,0.11,-0.14,1010,226,13574,-58,-7,-17,25,5
