title=静止五分钟采集的第五次数据
time=2022-10-26 14:50
freq=100
note=开发板长边与桌子长边平行，输出电压的两个电极在我坐的这一侧，板2，24v
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,0.05,0.38,-0.05,1088,140,14278,-51,6,-28,25,3
2,0.05,0.38,-0.05,1088,156,14300,-52,7,-27,25,3
3,0.05,0.37,-0.05,1020,124,14264,-50,8,-27,25,3
4,0.05,0.37,-0.05,1086,150,14384,-51,7,-29,25,3
5,0.05,0.37,-0.05,994,114,14262,-51,6,-27,25,3
6,0.05,0.37,-0.05,1042,168,14206,-50,7,-27,25,3
7,0.05,0.36,-0.05,1112,128,14214,-51,7,-28,25,3
8,0.05,0.36,-0.05,1014,168,14250,-50,7,-28,25,3
9,0.05,0.36,-0.05,960,106,14198,-51,7,-28,25,3
10,0.05,0.35,-0.05,1078,188,14310,-51,6,-29,25,3
11,0.05,0.35,-0.05,1026,148,14262,-51,6,-28,25,3
12,0.05,0.35,-0.05,1126,84,14214,-51,5,-29,25,3
13,0.05,0.35,-0.05,1038,178,14240,-51,6,-28,25,3
14,0.05,0.34,-0.05,1064,186,14300,-51,8,-26,25,3
15,0.05,0.34,-0.05,1094,124,14202,-50,7,-28,25,3
16,0.05,0.34,-0.05,1130,106,14228,-50,7,-28,25,3
17,0.04,0.33,-0.06,1142,134,14316,-51,5,-28,25,3
18,0.04,0.33,-0.06,1088,126,14250,-52,7,-28,25,3
19,0.04,0.33,-0.06,1054,120,14226,-50,8,-29,25,3
20,0.04,0.32,-0.06,1038,158,14334,-50,6,-28,25,3
21,0.04,0.32,-0.06,1130,134,14272,-52,6,-28,25,3
22,0.04,0.32,-0.06,1070,92,14182,-51,5,-28,25,3
23,0.04,0.32,-0.06,1086,114,14218,-51,7,-29,25,3
24,0.04,0.31,-0.06,1068,138,14292,-51,6,-28,25,3
25,0.04,0.31,-0.06,1038,124,14218,-52,7,-28,25,3
26,0.04,0.31,-0.06,1050,142,14294,-51,7,-27,25,3
27,0.04,0.31,-0.06,1144,144,14288,-51,7,-27,25,3
28,0.04,0.30,-0.06,1070,114,14284,-52,7,-28,25,3
29,0.04,0.30,-0.06,1110,60,14240,-51,6,-28,25,3
30,0.04,0.29,-0.06,1038,96,14338,-51,6,-28,25,3
31,0.04,0.29,-0.06,1088,144,14264,-51,7,-28,25,3
32,0.04,0.29,-0.06,1022,140,14288,-51,8,-28,25,3
33,0.04,0.28,-0.06,1106,104,14256,-51,6,-28,25,3
34,0.04,0.28,-0.06,1082,124,14210,-50,8,-28,25,3
35,0.04,0.28,-0.06,1046,140,14252,-51,7,-28,25,3
36,0.04,0.28,-0.07,1054,148,14264,-51,6,-27,25,3
37,0.04,0.28,-0.07,994,114,14276,-52,7,-27,25,3
38,0.04,0.27,-0.07,1050,66,14288,-51,7,-28,25,3
39,0.04,0.27,-0.07,1070,98,14208,-53,5,-28,25,3
40,0.04,0.27,-0.07,1022,110,14280,-51,7,-28,25,3
41,0.04,0.26,-0.07,1086,134,14286,-51,5,-28,25,3
42,0.04,0.26,-0.07,1078,70,14312,-51,7,-28,25,3
43,0.04,0.26,-0.07,1062,138,14356,-50,7,-28,25,3
44,0.04,0.26,-0.07,1104,170,14284,-50,6,-28,25,3
45,0.04,0.26,-0.07,1052,122,14280,-52,7,-27,25,3
46,0.03,0.25,-0.07,1010,166,14172,-51,6,-28,25,3
47,0.04,0.25,-0.07,1054,80,14246,-52,5,-29,25,3
48,0.04,0.25,-0.07,1020,124,14330,-51,5,-28,25,3
49,0.04,0.24,-0.07,1114,128,14268,-51,7,-28,25,3
50,0.03,0.24,-0.07,1118,174,14176,-51,6,-27,25,3
51,0.03,0.24,-0.08,1106,164,14278,-51,7,-27,25,3
52,0.03,0.24,-0.08,1114,84,14210,-50,7,-28,25,3
53,0.03,0.24,-0.08,1060,194,14334,-51,6,-29,25,3
54,0.03,0.24,-0.08,1090,146,14222,-52,4,-26,25,3
55,0.03,0.23,-0.08,1024,98,14288,-50,6,-28,25,3
56,0.03,0.23,-0.08,1004,104,14330,-51,8,-27,25,3
57,0.03,0.23,-0.08,1036,154,14194,-51,5,-27,25,3
58,0.03,0.23,-0.08,1102,146,14314,-49,9,-28,25,4
59,0.03,0.22,-0.08,1114,142,14286,-53,2,-27,25,4
60,0.03,0.22,-0.08,1030,76,14200,-49,11,-28,25,4
61,0.03,0.22,-0.08,1096,178,14258,-53,3,-29,25,4
62,0.03,0.22,-0.08,1058,124,14246,-48,11,-28,25,4
63,0.03,0.22,-0.08,1052,160,14216,-52,5,-27,25,4
64,0.03,0.21,-0.08,1046,178,14146,-51,6,-27,25,4
65,0.03,0.21,-0.08,1106,104,14312,-50,6,-27,25,4
66,0.03,0.21,-0.08,1062,134,14242,-51,7,-28,25,4
67,0.03,0.21,-0.08,1056,94,14316,-51,4,-29,25,4
68,0.03,0.21,-0.08,1064,164,14188,-50,7,-27,25,4
69,0.03,0.21,-0.08,1058,92,14206,-52,5,-28,25,4
70,0.02,0.20,-0.08,1098,138,14298,-49,8,-27,25,4
71,0.03,0.20,-0.08,1024,126,14268,-50,6,-28,25,4
72,0.03,0.20,-0.09,1064,160,14254,-50,8,-28,25,4
73,0.03,0.20,-0.09,1036,90,14260,-51,5,-28,25,4
74,0.03,0.20,-0.09,1104,108,14222,-51,6,-29,25,4
75,0.03,0.20,-0.09,1038,94,14324,-50,7,-27,25,4
76,0.02,0.19,-0.09,1058,146,14232,-50,7,-28,25,4
77,0.03,0.19,-0.09,1076,142,14286,-51,6,-27,25,4
78,0.02,0.19,-0.09,1026,132,14318,-51,8,-28,25,4
79,0.03,0.19,-0.09,1010,90,14262,-50,7,-27,25,4
80,0.03,0.19,-0.09,988,102,14302,-52,6,-27,25,4
81,0.03,0.18,-0.09,1038,174,14272,-52,8,-28,25,4
82,0.03,0.18,-0.09,1050,70,14190,-50,5,-28,25,4
83,0.03,0.18,-0.09,1020,136,14240,-51,7,-28,25,4
84,0.03,0.18,-0.09,1108,126,14258,-52,4,-27,25,4
85,0.03,0.18,-0.09,1076,100,14216,-51,7,-28,25,4
86,0.03,0.18,-0.09,1030,130,14224,-50,6,-27,25,4
87,0.02,0.18,-0.09,974,150,14256,-50,7,-28,25,4
88,0.03,0.17,-0.09,1072,130,14314,-51,7,-28,25,4
89,0.03,0.17,-0.09,1040,164,14220,-52,6,-28,25,4
90,0.03,0.17,-0.10,1074,82,14208,-51,5,-28,25,4
91,0.03,0.17,-0.10,1078,102,14258,-51,7,-28,25,4
92,0.03,0.17,-0.10,1032,90,14196,-50,6,-27,25,4
93,0.03,0.17,-0.10,1096,110,14328,-51,7,-28,25,4
94,0.03,0.16,-0.10,1040,154,14248,-50,6,-29,25,4
95,0.03,0.16,-0.10,1082,140,14214,-52,6,-28,25,4
96,0.02,0.16,-0.10,1068,184,14240,-51,7,-27,25,4
97,0.02,0.16,-0.10,1054,96,14192,-51,7,-28,25,4
98,0.02,0.16,-0.10,1062,88,14260,-52,6,-27,25,4
99,0.02,0.15,-0.10,1078,150,14210,-51,6,-28,25,4
100,0.02,0.15,-0.10,1024,90,14242,-51,8,-28,25,4
101,0.02,0.15,-0.10,1016,172,14212,-51,7,-28,25,4
102,0.03,0.15,-0.10,1062,110,14266,-51,7,-27,25,4
103,0.03,0.15,-0.10,1048,152,14276,-51,7,-28,25,4
104,0.03,0.14,-0.10,1100,124,14302,-52,5,-27,25,4
105,0.02,0.14,-0.10,1038,118,14318,-51,7,-27,25,4
106,0.02,0.14,-0.10,1098,180,14284,-51,7,-28,25,4
107,0.02,0.14,-0.10,1010,130,14242,-52,7,-28,25,4
108,0.03,0.14,-0.10,1072,130,14306,-50,7,-28,25,4
109,0.03,0.14,-0.10,1090,98,14266,-51,6,-28,25,4
110,0.02,0.13,-0.11,1056,118,14170,-51,7,-28,25,4
111,0.03,0.13,-0.11,1058,140,14228,-51,7,-27,25,4
112,0.03,0.13,-0.11,1026,162,14214,-52,6,-28,25,4
113,0.03,0.13,-0.11,1080,142,14186,-51,7,-29,25,4
114,0.02,0.13,-0.11,1066,112,14112,-52,6,-28,25,4
115,0.03,0.13,-0.11,1032,210,14330,-51,7,-28,25,4
116,0.03,0.13,-0.11,1054,148,14272,-51,6,-27,25,4
117,0.02,0.12,-0.11,1078,138,14284,-50,6,-28,25,4
118,0.02,0.12,-0.11,1050,128,14296,-51,7,-28,25,4
119,0.03,0.12,-0.11,1124,158,14286,-52,8,-27,25,4
120,0.03,0.12,-0.11,1048,130,14292,-51,6,-28,25,4
121,0.03,0.12,-0.11,1058,142,14250,-50,6,-28,25,4
122,0.02,0.12,-0.11,980,122,14238,-52,8,-29,25,4
123,0.03,0.12,-0.11,1074,136,14256,-51,7,-28,25,4
124,0.03,0.12,-0.11,1078,116,14250,-51,8,-27,25,4
125,0.03,0.11,-0.11,1018,106,14258,-51,6,-27,25,4
126,0.03,0.11,-0.11,1088,114,14190,-51,7,-27,25,4
127,0.03,0.11,-0.11,1064,144,14266,-51,7,-28,25,4
128,0.03,0.11,-0.12,1090,90,14342,-52,7,-29,25,4
129,0.03,0.11,-0.12,1084,118,14314,-52,6,-29,25,4
130,0.03,0.11,-0.12,1054,68,14284,-52,7,-29,25,4
131,0.03,0.10,-0.12,1048,96,14260,-51,7,-29,25,4
132,0.03,0.10,-0.12,1060,124,14276,-50,7,-27,25,4
133,0.03,0.10,-0.12,1074,108,14270,-50,6,-27,25,4
