title=静止五分钟采集的第六次数据
time=2022-10-26 15:30
freq=100
note=相比第一次采集时，顺时针方向旋转了90度，板2，24v
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,-0.02,0.42,-0.08,806,202,14152,-51,6,-27,25,3
2,-0.02,0.41,-0.08,750,178,14148,-51,7,-29,25,3
3,-0.02,0.41,-0.08,790,140,14220,-50,6,-29,25,3
4,-0.02,0.41,-0.08,822,160,14218,-52,8,-28,25,3
5,-0.02,0.41,-0.08,782,176,14150,-51,8,-28,25,3
6,-0.02,0.40,-0.08,780,242,14208,-51,8,-29,25,3
7,-0.02,0.40,-0.08,828,164,14152,-51,8,-28,25,3
8,-0.02,0.40,-0.08,828,168,14156,-51,7,-29,25,3
9,-0.03,0.39,-0.08,738,170,14102,-52,8,-28,25,3
10,-0.02,0.39,-0.08,804,124,14132,-51,6,-28,25,3
11,-0.03,0.39,-0.08,722,200,14244,-51,7,-29,25,3
12,-0.03,0.39,-0.08,882,172,14132,-50,6,-28,25,3
13,-0.03,0.38,-0.08,776,118,14100,-52,8,-28,25,3
14,-0.03,0.38,-0.08,834,158,14154,-51,7,-28,25,3
15,-0.03,0.38,-0.08,870,140,14170,-51,7,-29,25,3
16,-0.03,0.37,-0.08,844,154,14168,-52,7,-30,25,3
17,-0.03,0.37,-0.09,796,94,14162,-51,8,-28,25,3
18,-0.04,0.37,-0.09,804,136,14200,-51,8,-29,25,3
19,-0.04,0.36,-0.09,810,132,14152,-52,6,-28,25,3
20,-0.04,0.36,-0.09,776,96,14202,-51,7,-29,25,3
21,-0.04,0.36,-0.09,824,138,14112,-52,8,-29,25,3
22,-0.04,0.35,-0.09,802,180,14064,-52,5,-27,25,3
23,-0.04,0.35,-0.09,736,168,14318,-50,7,-29,25,3
24,-0.04,0.35,-0.09,790,156,14084,-52,7,-29,25,3
25,-0.04,0.35,-0.09,766,146,14224,-51,7,-29,25,3
26,-0.04,0.34,-0.09,758,160,14106,-51,6,-29,25,3
27,-0.04,0.34,-0.10,784,248,14124,-51,7,-28,25,3
28,-0.04,0.34,-0.10,768,140,14190,-51,6,-28,25,3
29,-0.04,0.34,-0.10,788,224,14264,-51,6,-29,25,3
30,-0.04,0.34,-0.10,724,190,14220,-51,8,-28,25,3
31,-0.04,0.34,-0.10,770,146,14230,-52,6,-28,25,3
32,-0.04,0.33,-0.10,710,172,14148,-52,8,-29,25,3
33,-0.04,0.33,-0.10,762,184,14256,-52,7,-27,25,3
34,-0.04,0.33,-0.10,794,154,14214,-52,7,-29,25,3
35,-0.04,0.32,-0.10,772,180,14208,-52,6,-29,25,3
36,-0.05,0.32,-0.10,784,144,14172,-51,7,-28,25,3
37,-0.04,0.32,-0.10,762,216,14192,-51,8,-28,25,3
38,-0.04,0.32,-0.10,758,154,14084,-51,6,-28,25,3
39,-0.04,0.31,-0.10,756,136,14220,-53,6,-29,25,3
40,-0.04,0.31,-0.10,782,212,14156,-51,5,-28,25,3
