title=静止五分钟采集的第九次数据
time=2022-10-31 21:15
freq=100
note=开发板2长边与桌子长边平行，输出电压的两个电极在我坐的这一侧
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
1,0.00,0.00,0.00,1128,186,13506,-39,8,-33,25,2
2,0.09,0.87,0.00,1222,248,13542,-39,9,-32,25,2
3,0.09,0.86,-0.00,1194,232,13464,-40,9,-31,25,2
4,0.09,0.85,-0.00,1134,294,13472,-39,8,-31,25,2
5,0.09,0.85,-0.00,1172,292,13438,-39,9,-32,25,2
6,0.09,0.84,-0.00,1080,242,13542,-38,8,-31,25,2
7,0.09,0.84,-0.00,1100,192,13560,-39,7,-29,25,2
8,0.09,0.83,-0.00,1184,176,13466,-38,8,-33,25,2
9,0.08,0.82,-0.01,1104,218,13584,-38,9,-30,25,2
10,0.08,0.82,-0.01,1172,242,13420,-39,8,-31,25,2
11,0.08,0.81,-0.01,1104,192,13518,-40,9,-32,25,2
12,0.08,0.80,-0.01,1146,198,13412,-39,8,-31,25,2
13,0.08,0.80,-0.01,1072,238,13494,-38,7,-32,25,2
14,0.08,0.79,-0.01,1148,254,13478,-40,8,-32,25,2
15,0.08,0.79,-0.01,1104,228,13568,-39,9,-31,25,2
16,0.08,0.78,-0.01,1176,292,13520,-40,9,-31,25,2
17,0.08,0.77,-0.01,1176,166,13538,-39,9,-31,25,2
18,0.08,0.77,-0.01,1116,192,13566,-39,9,-30,25,2
19,0.08,0.76,-0.02,1116,188,13494,-39,8,-31,25,2
20,0.08,0.75,-0.02,1150,174,13412,-39,9,-31,25,2
21,0.08,0.75,-0.02,1118,190,13480,-39,9,-32,25,2
22,0.08,0.74,-0.02,1072,204,13436,-40,8,-31,25,2
23,0.08,0.74,-0.02,1118,198,13428,-40,9,-32,25,2
24,0.08,0.73,-0.02,1162,234,13506,-39,9,-31,25,2
25,0.08,0.72,-0.02,1096,200,13506,-39,9,-31,25,2
26,0.08,0.72,-0.02,1130,146,13562,-38,8,-31,25,2
27,0.08,0.71,-0.02,1148,212,13534,-40,9,-31,25,2
28,0.07,0.70,-0.02,1088,214,13444,-40,8,-32,25,2
29,0.07,0.70,-0.03,1132,222,13460,-40,7,-31,25,2
30,0.07,0.69,-0.03,1144,202,13446,-40,7,-32,25,2
31,0.07,0.69,-0.03,1142,226,13514,-39,9,-32,25,2
32,0.07,0.68,-0.03,1230,210,13476,-39,8,-33,25,2
33,0.07,0.68,-0.03,1146,246,13602,-40,9,-32,25,2
34,0.07,0.67,-0.03,1184,198,13566,-40,8,-32,25,2
35,0.07,0.67,-0.03,1178,216,13518,-39,9,-32,25,2
36,0.07,0.66,-0.03,1188,176,13458,-39,9,-32,25,2
37,0.07,0.66,-0.04,1144,282,13494,-39,9,-31,25,2
38,0.07,0.65,-0.04,1130,212,13492,-40,10,-32,25,2
39,0.06,0.65,-0.04,1124,170,13516,-38,11,-32,25,2
40,0.07,0.64,-0.04,1154,222,13544,-40,9,-31,25,2
